"Spitalname";"Stationär";"Ambulant";"Langzeit";"übrige Aufträge";"Total"
"Universitätsspital Zürich";830376.053;455175.86;43.272;273520.401;1559115.586
"Kantonsspital Winterthur";346077.198;208552.956;31.384;35853.873;590515.411
"Stadtspital Triemli";326035.01;154847.307;9.095;62368.764;543260.176
"Klinik Hirslanden";385995.926;58005.796;0;31496.278;475498
"See-Spital";97883.044;27021.036;0;21625.183;146529.263
"Spital Uster";108786.867;51644.936;0;21548.162;181979.965
"Spital Limmattal";120236.642;70762.803;76.185;18434.774;209510.404
"Spital Bülach";94798.316;38217.22;7.859;14412.765;147436.16
"Spital Zollikerberg";121166.238;46204.727;0;4881.535;172252.5
"GZO AG Spital Wetzikon";97434.561;44696.173;12.863;7110.072;149253.669
"Stadtspital Waid";100357.146;50444.774;2.452;16112.355;166916.727
"Schulthess Klinik";122420.314;67241.66;0;22778.747;212440.721
"Kinderspital Zürich";159318.773;91415.654;0;58763.049;309497.476
"Spital Männedorf";88699.209;47423.404;0;12496.726;148619.339
"Universitätsklinik Balgrist";101181.039;52813.701;0;19561.128;173555.868
"Spital Affoltern";30601.705;14250.904;0;9127.508;53980.117
"Limmatklinik";14755.415;4448.627;0;468.149;19672.191
"Klinik Lengg";13930.832;5038.121;0;3134.842;22103.795
"Uroviva Klinik für Urologie";14544.483;1470.438;0;1825.185;17840.106
"Adus Medica";5987.197;2723.862;0;388.878;9099.937
"Klinik Susenberg";4330.66;61.383;0;342.282;4734.325
"Sune-Egge";4799.544;1495.367;0;3572.517;9867.428
"Spitäler mit Zürcher Leistungsauftrag";3189716.172;1493956.709;183.11;639823.173;5323679.164
"Geburtshaus Zürcher Oberland";3023.648;460.026;0;104.575;3588.249
"Geburtshaus Delphys";1943.354;381.185;0;109.594;2434.133
"Geburtshäuser mit Zürcher Leistungsauftrag";4967.002;841.211;0;214.169;6022.382
"Klinik Im Park";134657.132;28833.549;0;10317.927;173808.608
"Privatklinik Bethanien";61435.125;4796.148;0;6600.382;72831.655
"Klinik Lindberg";26125.691;3616.904;0;2815.767;32558.362
"Klinik Pyramide am See";19344.44;243.917;0;85.079;19673.436
"Klinik Tiefenbrunnen";227.008;908.024;0;0;1135.032
"Spitäler ohne Zürcher Leistungsauftrag";241789.396;38398.542;0;19819.155;300007.093
"Total Kanton Zürich";3436472.57;1533196.462;183.11;659856.497;5629708.639
"Spitäler Schaffhausen";99685.975;51683.614;0;5802.168;157171.757
