"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Universitätsspital Zürich";3388;8.75361719718892;8335;21.5352418354692;12920;33.3815626291856;9742;25.1705250103348;4319;11.1590533278214;38704
"Kantonsspital Winterthur";4983;18.667116205889;4183;15.6701880572413;6152;23.0463774631003;6613;24.7733573087585;4763;17.8429609650109;26694
"Stadtspital Triemli";3478;14.0547967348258;4398;17.77256930413;6336;25.6041380425119;6145;24.8322961286673;4389;17.736199789865;24746
"Klinik Hirslanden";1100;5.62976610880802;2371;12.1347049490762;6158;31.5164542709453;6598;33.7683607144685;3312;16.950713956702;19539
"See-Spital Standort Horgen";919;12.3937963587323;1611;21.726230613621;1729;23.3175994605529;1473;19.8651382333109;1683;22.6972353337829;7415
"See-Spital Standort Kilchberg";80;3.79326695116169;326;15.4575628259839;932;44.1915599810337;600;28.4495021337127;171;8.10810810810811;2109
"Spital Uster";1081;10.4243008678881;1967;18.9681774349084;2665;25.6991321118611;2455;23.6740597878496;2202;21.2343297974928;10370
"Spital Limmattal";1372;10.7481394437916;2930;22.9533881707795;3344;26.1966314140227;2642;20.6972189580885;2477;19.4046220133177;12765
"Spital Bülach";1544;15.2931854199683;2168;21.4738510301109;2275;22.533676703645;2047;20.2753565768621;2062;20.4239302694136;10096
"Spital Zollikerberg";2348;20.5460273013651;2766;24.2037101855093;2186;19.1284564228211;1852;16.2058102905145;2276;19.91599579979;11428
"GZO AG Spital Wetzikon";1037;10.4409987917841;1918;19.311316955296;2581;25.9867096254531;2396;24.1240434957712;2000;20.1369311316955;9932
"Stadtspital Waid";131;1.52060359837493;946;10.9808473592571;2043;23.7144515380151;2241;26.0127684271619;3254;37.7713290771909;8615
"Schulthess Klinik";626;7.5476247890041;1170;14.1065830721003;3202;38.606221364842;2655;32.0110923559199;641;7.72847841813359;8294
"Kinderspital Zürich";8205;99.9147588894301;7;0.0852411105698977;0;0;0;0;0;0;8212
"Spital Männedorf";681;8.17723342939481;1228;14.745437079731;2313;27.7737752161383;2108;25.312199807877;1998;23.9913544668588;8328
"Universitätsklinik Balgrist";363;5.55640593907852;1308;20.0214296647788;2674;40.9306597275371;1688;25.8380529618858;500;7.65345170671973;6533
"Spital Affoltern";74;2.88724151385096;198;7.72532188841202;593;23.1369488880218;766;29.8868513460788;932;36.3636363636364;2563
"Limmatklinik";433;21.4462605250124;770;38.1376919266964;638;31.5998018821199;140;6.93412580485389;38;1.88211986131748;2019
"Klinik Lengg";198;21.0414452709883;354;37.6195536663124;298;31.6684378320935;78;8.28905419766206;13;1.38150903294368;941
"Uroviva Klinik für Urologie";3;0.214745884037223;140;10.0214745884037;542;38.7974230493916;533;38.1531853972799;179;12.8131710808876;1397
"Adus Medica";43;5.5198973042362;193;24.7753530166881;409;52.5032092426187;113;14.5057766367137;21;2.69576379974326;779
"Klinik Susenberg";0;0;0;0;9;4.56852791878173;54;27.4111675126904;134;68.0203045685279;197
"Sune-Egge";1;0.636942675159236;30;19.1082802547771;120;76.4331210191083;6;3.82165605095541;0;0;157
"Spitäler mit Zürcher Leistungsauftrag";32088;14.4649353342379;39317;17.7236930483742;60119;27.1010174320322;52945;23.867053143581;37364;16.8433010417747;221833
"Geburtshaus Zürcher Oberland";398;48.6552567237164;401;49.0220048899755;19;2.32273838630807;0;0;0;0;818
"Geburtshaus Delphys";261;48.1549815498155;264;48.7084870848708;17;3.13653136531365;0;0;0;0;542
"Geburtshäuser mit Zürcher Leistungsauftrag";659;48.4558823529412;665;48.8970588235294;36;2.64705882352941;0;0;0;0;1360
"Klinik Im Park";529;7.89316621903909;784;11.6980005968368;1711;25.529692629066;2362;35.2432109817965;1316;19.6359295732617;6702
"Privatklinik Bethanien";440;11.5911485774499;689;18.1506849315068;1160;30.5584826132771;1113;29.3203371970495;394;10.3793466807165;3796
"Klinik Lindberg";23;1.34660421545667;186;10.8899297423888;601;35.1873536299766;651;38.1147540983607;247;14.4613583138173;1708
"Klinik Pyramide am See";57;3.84615384615385;241;16.2618083670715;671;45.27665317139;402;27.1255060728745;111;7.48987854251012;1482
"Klinik Tiefenbrunnen";2;2.32558139534884;17;19.7674418604651;50;58.1395348837209;15;17.4418604651163;2;2.32558139534884;86
"Spitäler ohne Zürcher Leistungsauftrag";1051;7.63031799041673;1917;13.9175257731959;4193;30.4414113547263;4543;32.9824306664731;2070;15.028314215188;13774
"Total Kanton Zürich";33798;14.2627454455684;41899;17.68136491579;64348;27.1548359054214;57488;24.2599180476606;39434;16.6411356855596;236967
"Spitäler Schaffhausen";1134;11.2768496420048;1919;19.0831344470963;2613;25.9844868735084;2430;24.1646778042959;1960;19.4908512330947;10056
