"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";899;903;230;236;19;18;94;113;3856;96;25;352;40;496;46;48;6;39;0;110;40;7;8;7681;50;57;14;20;2;143;15;430
"Dermatologie";"DER1";19;4;0;1;0;0;0;0;5;1;0;0;0;4;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;1
"";"DER1.1";32;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;
"";"DER1.2";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"DER2";2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";80;11;3;9;0;1;7;1;51;0;1;1;0;22;0;0;0;24;0;0;0;0;0;211;0;2;0;1;0;3;0;13
"";"HNO1.1";58;9;0;4;0;0;0;4;15;0;0;2;0;7;0;0;0;8;0;0;0;0;0;107;1;5;0;1;0;7;1;5
"";"HNO1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"HNO1.2";45;3;0;7;2;3;5;0;36;1;1;5;0;1;3;0;0;91;0;0;0;0;0;203;2;2;0;8;0;12;1;28
"";"HNO1.2.1";2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
