"Spitalname";"Anzahl bewertete Austritte";"Inlier in %";"High Outlier in %";"Low Outlier in %";"Verlegungsabschlag in %";"Unbewertete Austritte";"CMI der bewerteten Fälle"
"Universitätsspital Zürich";38617;81.0368490561152;6.82600927052852;10.3762591604734;1.76088251288293;38;1.67526682516586
"Kantonsspital Winterthur";26684;85.6468295607855;4.83061010343277;8.49572777694499;1.02683255883676;10;1.04901169043544
"Stadtspital Triemli";24736;81.9695989650712;6.16914618369987;9.84799482535576;2.01326002587322;10;1.1515155223847
"Klinik Hirslanden";19538;76.8451223257242;7.24229706213533;15.4058757293479;0.506704882792507;1;1.49372653187211
"See-Spital Standort Horgen";7413;86.45622554971;5.73317145555106;6.38068258464859;1.42992041009038;0;0.862365573443624
"See-Spital Standort Kilchberg";2105;92.1615201900238;0.712589073634204;7.07838479809976;0.0475059382422803;0;0.999766263287877
"Spital Uster";10368;90.5671296296296;3.80015432098765;4.16666666666667;1.46604938271605;2;0.925010995097878
"Spital Limmattal";12761;87.5479978058146;4.84288065198652;6.551210720163;1.05791082203589;0;0.8945783250289
"Spital Bülach";10093;89.7651837907461;3.96314277221837;5.21153274546716;1.06014069156841;3;0.949840877828537
"Spital Zollikerberg";11424;91.7892156862745;3.42261904761905;3.2125350140056;1.57563025210084;4;0.914399073434425
"GZO AG Spital Wetzikon";9928;91.1462530217566;3.51531023368251;3.36422240128928;1.97421434327156;0;0.901647865824029
"Stadtspital Waid";8615;84.2367962855485;6.62797446314568;2.82066163668021;6.31456761462565;0;1.03640022934244
"Schulthess Klinik";8294;90.3906438389197;1.90499156016397;7.36677115987461;0.337593441041717;0;1.28864600359028
"Kinderspital Zürich";8212;84.0842669264491;6.64880662445202;8.62152946906965;0.645396980029226;0;1.538792129929
"Spital Männedorf";8297;88.7188140291672;5.7972761239002;4.25454983729059;1.22936000964204;0;0.983654936602479
"Universitätsklinik Balgrist";6533;89.1474054798714;5.1584264503291;4.68391244451248;1.010255625287;0;1.38054599493774
"Spital Affoltern";2563;82.7155676941085;2.10690596956691;2.06788919235271;13.1096371439719;0;1.07798478466619
"Limmatklinik";2019;84.9925705794948;0.544824170381377;14.1654284299158;0.297176820208024;0;0.790062904682651
"Klinik Lengg";941;93.4112646121148;3.29436769394261;0.743889479277364;2.55047821466525;0;1.3779022456894
"Uroviva Klinik für Urologie";1397;95.848246241947;3.5075161059413;0.214745884037223;0.429491768074445;0;0.83830565226957
"Adus Medica";779;94.3517329910141;0;5.64826700898588;0;0;0.904519901081288
"Klinik Susenberg";197;69.0355329949239;3.55329949238579;0.50761421319797;26.9035532994924;0;1.78245684489381
"Spitäler mit Zürcher Leistungsauftrag";221514;85.1923580450897;5.28318751862185;7.87850880756972;1.64594562871873;68;1.20153553174569
"Geburtshaus Zürcher Oberland";818;87.1638141809291;2.44498777506112;2.20048899755501;8.19070904645477;0;0.371925429311242
"Geburtshaus Delphys";542;88.3763837638376;1.4760147601476;3.690036900369;6.45756457564576;0;0.391108856264955
"Geburtshäuser mit Zürcher Leistungsauftrag";1360;87.6470588235294;2.05882352941176;2.79411764705882;7.5;0;0.379570589170736
"Klinik Im Park";6701;69.6164751529622;5.35740934188927;23.9964184450082;1.02969706014028;1;1.23742172824587
"Privatklinik Bethanien";3796;80.1369863013699;8.9567966280295;10.5374077976818;0.368809272918862;0;0.994646205654166
"Klinik Lindberg";1708;87.8220140515222;5.62060889929742;6.20608899297424;0.351288056206089;0;1.13999882380563
"Klinik Pyramide am See";1482;72.8744939271255;1.82186234817814;25.1012145748988;0.202429149797571;0;1.02627193276216
"Klinik Tiefenbrunnen";86;77.9069767441861;0;22.093023255814;0;0;0.870616278329561
"Spitäler ohne Zürcher Leistungsauftrag";13773;75.1760691207435;5.96819864953169;18.1877586582444;0.667973571480433;1;1.13341799121387
"Total Kanton Zürich";236647;84.6235109678128;5.30452530562399;8.44929367369965;1.62267005286355;69;1.19284725254652
"Spitäler Schaffhausen";9969;88.8153275152974;5.20613903099609;5.70769385093791;0.270839602768583;3;0.949017551715168
