"Leistungsbereich";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %";"MAHD Tage"
"Basispaket";75863;57.3353017940234;25.9256818211776;75.8129786588983;4.8720588429142
"Dermatologie";725;53.9737931034483;24.8275862068966;35.0344827586207;5.76
"Hals-Nasen-Ohren";6991;42.894292661994;24.4886282363038;9.85552853669003;3.16378200543556
"Neurochirurgie";1335;58.7685393258427;28.1647940074906;32.059925093633;9.76479400749064
"Neurologie";5013;64.3241571913026;28.067025733094;76.5010971474167;5.78296429283862
"Ophthalmologie";2777;68.6373784659705;38.0266474612892;14.368023046453;1.65718401152323
"Endokrinologie";1215;63.60329218107;21.3991769547325;78.6831275720165;9.53251028806584
"Gastroenterologie";6175;67.2851821862348;27.8380566801619;72.3562753036437;7.45975708502024
"Viszeralchirugie";4298;58.0176826430898;26.9892973476035;24.8022335970219;9.22731503024663
"Hämatologie";2670;61.3112359550562;32.3220973782772;49.2134831460674;7.84644194756554
"Gefässe";3282;70.2074954296161;31.5356489945155;31.2004875076173;7.61700182815356
"Herz";9097;67.7694844454216;33.857315598549;33.2087501374079;5.60404528965593
"Nephrologie";654;68.4174311926605;19.7247706422018;75.2293577981651;10.4678899082569
"Urologie";11470;62.3383609415867;31.5780296425458;18.5963382737576;3.69433304272014
"Pneumologie";2582;60.6785437645236;20.5267234701782;68.1254841208366;8.94151820294345
"Thoraxchirurgie";550;60.9054545454545;31.6363636363636;13.2727272727273;8.28363636363636
"Transplantationen";78;53.3974358974359;0;70.5128205128205;30.1666666666667
"Bewegungsapparat chirurgisch";28669;57.3268687432418;38.2015417349751;12.9477833199623;5.09791063518086
"Rheumatologie";851;59.6745005875441;23.7367802585194;63.807285546416;6.77555816686252
"Gynäkologie";6541;49.5962391071702;29.0628344289864;10.1513530041278;2.83213575905825
"Geburtshilfe";19251;32.638823957197;21.6040725157135;56.6671861202015;3.84847540387512
"Neugeborene";17570;0;0.779738190096756;1.63915765509391;3.96448491747297
"(Radio-)Onkologie";1618;58.9357231149567;27.9975278121137;28.0593325092707;7.7398022249691
"Schwere Verletzungen";546;59.9029304029304;23.2600732600733;82.051282051282;10.3736263736264
"Total";209821;51.2917629789201;26.1661130201457;45.9906301085211;4.99642075864666
