"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Universitätsspital Zürich";6923.129;7002.048;6907.096;-1.35606039832917
"Kantonsspital Winterthur";2673.276;2771.133;2857.604;3.12042042009533
"Stadtspital Triemli";2324.764;2491.856;2424.697;-2.69513968704452
"Klinik Hirslanden";1319.852;1390.669;1398.874;0.590003803924577
"See-Spital";624.027;628.595;603.34;-4.0176902457067
"Spital Uster";860.49;848.682;813.553;-4.13924178903288
"Spital Limmattal";910.157;956.336;983.082;2.79671579863143
"Spital Bülach";813.211;821.793;819.336;-0.298980400173765
"Spital Zollikerberg";758.96;805.798;863.982;7.22066820716853
"GZO AG Spital Wetzikon";664.125;652.825;659.129;0.965649293455373
"Stadtspital Waid";776.065;798.421;797.436;-0.123368498574061
"Schulthess Klinik";783.122;800.878;791.322;-1.19319047345539
"Kinderspital Zürich";1704.205;1752.683;1734.784;-1.02123430192453
"Spital Männedorf";688.297;690.651;684.311;-0.917974490734097
"Universitätsklinik Balgrist";888.658;893.313;920.082;2.99659805689607
"Spital Affoltern";348.974;335.458;337.58;0.632568011494716
"Paracelsus-Spital Richterswil";113.94;;;
"Limmatklinik";32.618;32.734;32.191;-1.65882568583124
"Klinik Lengg";203.582;211.001;227.615;7.87389633224487
"Uroviva Klinik für Urologie";61.829;63.95;67.366;5.34167318217358
"Adus Medica";22.387;26.687;27.184;1.86232997339528
"Klinik Susenberg";77.123;77.356;73.89;-4.48058327731526
"Sune-Egge";46.128;42.036;44.076;4.85298315729374
"Spitäler mit Zürcher Leistungsauftrag";23618.919;24094.903;24068.53;-0.109454684254173
"Geburtshaus Zürcher Oberland";24.064;24.472;24.035;-1.78571428571429
"Geburtshaus Delphys";9.71;10.4;11.89;14.3269230769231
"Geburtshäuser mit Zürcher Leistungsauftrag";33.774;34.872;35.925;3.0196145905024
"Klinik Im Park";459.48;469.219;466.575;-0.563489543262319
"Privatklinik Bethanien";211.918;196.42;186.454;-5.07382140311576
"Klinik Lindberg";110.633;98.257;97.021;-1.25792564397448
"Klinik Pyramide am See";83.72;81.978;82.386;0.497694503403356
"Klinik Tiefenbrunnen";5.87;5.63;5.11;-9.23623445825932
"Spitäler ohne Zürcher Leistungsauftrag";871.621;851.504;837.546;-1.63921719686577
"Total Kanton Zürich";24524.314;24981.279;24942.001;-0.15722973991843
"Spitäler Schaffhausen";988.324;919.811;;-6.93224084409566
