"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Total"
"Universitätsspital Zürich";13773;1533;3553;2990;1348;1361;3976;1532;30066
"Kantonsspital Winterthur";289;20118;2277;136;30;59;1089;778;24776
"Stadtspital Triemli";14465;295;1104;3796;1223;171;548;162;21764
"Klinik Hirslanden";5564;694;1249;1108;653;1961;2292;711;14232
"See-Spital Standort Horgen";1532;23;71;146;4429;31;59;35;6326
"See-Spital Standort Kilchberg";989;38;109;167;718;41;85;39;2186
"Spital Uster";241;669;335;48;19;105;7421;830;9668
"Spital Limmattal";916;72;337;8747;62;14;92;27;10267
"Spital Bülach";267;268;8518;444;2;13;281;19;9812
"Spital Zollikerberg";4801;354;615;390;136;1239;2951;502;10988
"GZO AG Spital Wetzikon";148;320;62;29;14;177;1339;7382;9471
"Stadtspital Waid";6116;83;613;643;67;32;345;30;7929
"Schulthess Klinik";1559;334;555;544;239;403;738;395;4767
"Kinderspital Zürich";2235;385;778;617;311;363;740;410;5839
"Spital Männedorf";383;81;122;87;70;4657;391;832;6623
"Universitätsklinik Balgrist";1477;290;498;539;189;262;613;348;4216
"Spital Affoltern";194;3;8;1833;42;2;10;5;2097
"Limmatklinik";536;216;181;152;40;37;141;41;1344
"Klinik Lengg";146;63;43;53;14;26;47;34;426
"Uroviva Klinik für Urologie";192;38;842;112;27;18;106;7;1342
"Adus Medica";118;5;248;131;10;5;43;9;569
"Klinik Susenberg";112;5;10;5;17;21;16;2;188
"Sune-Egge";116;5;9;17;7;0;10;3;167
"Spitäler mit Zürcher Leistungsauftrag";56169;25892;22137;22734;9667;10998;23333;14133;185063
"Geburtshaus Zürcher Oberland";82;270;34;11;6;59;122;207;791
"Geburtshaus Delphys";452;19;23;41;18;10;14;0;577
"Geburtshäuser mit Zürcher Leistungsauftrag";534;289;57;52;24;69;136;207;1368
"Klinik Im Park";2324;97;246;407;835;219;228;57;4413
"Privatklinik Bethanien";1459;168;475;273;133;213;602;95;3418
"Klinik Lindberg";21;1026;71;4;5;7;48;11;1193
"Klinik Pyramide am See";407;43;87;77;52;170;127;49;1012
"Klinik Tiefenbrunnen";15;1;3;1;0;10;2;4;36
"Spitäler ohne Zürcher Leistungsauftrag";4226;1335;882;762;1025;619;1007;216;10072
"Total Kanton Zürich";60929;27516;23076;23548;10716;11686;24476;14556;196503
"Spitäler Schaffhausen";35;940;57;9;3;8;21;6;1079
"Ausserkantonale Nicht-Listenspitäler";2557;2452;1029;2823;956;571;883;781;12052
"Total Zürcher PatientInnen";63521;30908;24162;26380;11675;12265;25380;15343;209634
