"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";253;259;34;105;8;4;246;13;13;71;3677;11;21;241;295;37;5;2;0;0;0;2;2;5299;11;13;5;5;3;37;3;352
"Dermatologie";"DER1";7;3;0;2;0;0;2;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;5
"";"DER1.1";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;
"";"DER1.2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"DER2";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;
"Hals-Nasen-Ohren";"HNO1";30;3;0;1;0;0;1;1;1;0;73;0;0;9;3;0;0;3;0;0;0;0;0;125;0;1;0;1;0;2;0;7
"";"HNO1.1";29;7;0;4;0;0;0;0;1;0;5;1;0;8;1;0;0;3;0;0;0;0;0;59;0;0;0;1;0;1;0;5
"";"HNO1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
"";"HNO1.2";21;0;0;5;2;0;10;0;1;0;68;0;0;0;8;0;0;11;0;0;0;0;0;126;1;2;0;2;0;5;0;13
"";"HNO1.2.1";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"HNO1.3";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;2;0;0;0;2;0;1
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"HNO1.3.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"HNO2";7;20;1;9;0;1;3;0;0;1;7;0;0;0;1;0;0;0;0;0;0;0;0;50;0;3;0;1;0;4;0;4
"";"KIE1";6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;20;0;0;0;4;0;4;0;1
"Neurochirurgie";"NCH1";45;4;0;4;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;1
"";"NCH1.1";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
"";"NCH1.1.1";8;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH1.1.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
