"Kanton";"2020";"2021";"% Änd. Vorjahr"
"ZH";189860;196690;3.5973875487201
"BE";746;764;2.41286863270778
"LU";721;743;3.05131761442441
"UR";26;34;30.7692307692308
"SZ";774;961;24.1602067183462
"OW";31;31;0
"NW";37;35;-5.40540540540541
"GL";78;81;3.84615384615385
"ZG";1210;1384;14.3801652892562
"FR";22;18;-18.1818181818182
"SO";101;100;-0.990099009900991
"BS";313;387;23.6421725239617
"BL";263;212;-19.3916349809886
"SH";1100;1357;23.3636363636364
"AR";167;170;1.79640718562875
"AI";9;4;-55.5555555555556
"SG";1377;1422;3.26797385620916
"GR";1656;1680;1.44927536231885
"AG";1462;1772;21.203830369357
"TG";1154;1262;9.35875216637783
"TI";221;273;23.5294117647059
"VD";104;121;16.3461538461539
"VS";177;223;25.9887005649718
"NE";11;14;27.2727272727273
"GE";50;68;36
"JU";7;15;114.285714285714
"Total ohne Zürich";11817;13131;11.1195734958111
"Total Zürcher PatientInnen";201677;209821;4.03814019446938
