"Spitalname";"2020";"2021";"2022";"Änd. Vorjahr"
"Universitätsspital Zürich";6.49472186287193;6.41450869102519;6.38889032424751;-0.0256183667776728
"Kantonsspital Winterthur";4.7701235212897;4.71545208214489;4.78931595115007;0.0738638690051765
"Stadtspital Triemli";4.83596978171042;4.85835264040904;4.97737008001293;0.119017439603887
"Klinik Hirslanden";5.60493626254407;5.51316471441899;5.498490199089;-0.0146745153299888
"See-Spital Standort Horgen";5.29202569324769;5.1608083108012;4.98287255563048;-0.177935755170717
"See-Spital Standort Kilchberg";3.18520102651839;3.05064277366576;2.90753911806543;-0.143103655600324
"Spital Uster";5.15704196094724;4.69216812821288;4.67579556412729;-0.0163725640855912
"Spital Limmattal";4.61871582289645;4.49452463912394;4.42812377594986;-0.0664008631740796
"Spital Bülach";4.81397892225094;4.89005950638962;5.03219096671949;0.142131460329872
"Spital Zollikerberg";4.84964421033176;4.8540404914345;4.89735736786839;0.0433168764338889
"GZO AG Spital Wetzikon";4.07045247494686;4.20047947258016;4.23348771647201;0.0330082438918478
"Stadtspital Waid";6.83501352348168;7.00376442015786;6.70342426001161;-0.300340160146255
"Schulthess Klinik";4.02085777603963;3.81296851574213;3.73233662888835;-0.0806318868537761
"Kinderspital Zürich";5.57553092026179;5.42627646326276;5.42401363857769;-0.00226282468507311
"Spital Männedorf";5.13556067588326;5.03368446839784;5.13100384245917;0.0973193740613301
"Universitätsklinik Balgrist";5.05724838411819;5.05181347150259;4.92071024031838;-0.131103231184207
"Spital Affoltern";6.6109008327025;7.09641434262948;7.31915723761217;0.222742894982691
"Paracelsus-Spital Richterswil";4.20566419420094;;;
"Limmatklinik";2.05235602094241;2.00975081256771;1.99306587419515;-0.0166849383725678
"Klinik Lengg";5.71265678449259;5.67132116004296;5.39638682252922;-0.274934337513741
"Uroviva Klinik für Urologie";2.94646680942184;2.83322033898305;2.86828919112384;0.0350688521407858
"Adus Medica";2.17096336499322;2.09838107098381;1.93709884467266;-0.161282226311153
"Klinik Susenberg";16.1306818181818;16.1428571428571;16.5989847715736;0.456127628716462
"Sune-Egge";42.9027777777778;37.3184357541899;42.7452229299363;5.42678717574636
"Spitäler mit Zürcher Leistungsauftrag";5.26057448092314;5.1992424925602;5.20266956372783;0.00342707116763741
"Geburtshaus Zürcher Oberland";3.54303797468354;3.38712972420838;3.45721271393643;0.0700829897280544
"Geburtshaus Delphys";3.03358208955224;3.13930348258706;3.2029520295203;0.0636485469332309
"Geburtshäuser mit Zürcher Leistungsauftrag";3.33710407239819;3.29266750948167;3.35588235294118;0.0632148434595079
"Klinik Im Park";4.51235664674528;4.57753669432036;4.19412115786332;-0.383415536457033
"Privatklinik Bethanien";4.37560738581147;4.25373493975904;4.06559536354057;-0.188139576218467
"Klinik Lindberg";4.52761747732894;4.17339832869081;4.07552693208431;-0.0978713966064984
"Klinik Pyramide am See";2.7084487534626;2.52648372686662;2.51417004048583;-0.0123136863807942
"Klinik Tiefenbrunnen";1.825;1.72727272727273;1.81395348837209;0.0866807610993656
"Spitäler ohne Zürcher Leistungsauftrag";4.25444648880711;4.18262030103062;3.94838100769566;-0.234239293334963
"Total Kanton Zürich";5.19187598339783;5.12861781134816;5.11916376894771;-0.00945404240045278
"Spitäler Schaffhausen";4.92166792371512;4.79027446300716;;-0.131393460707957
