"Spitalname";"Stationär";"Ambulant";"Langzeit";"übrige Aufträge";"Total"
"Universitätsspital Zürich";821486.626;449246.016;166.783;240086.399;1510985.824
"Kantonsspital Winterthur";318456.111;205488.315;36.418;22139.314;546120.158
"Stadtspital Triemli";327554.33;139446.308;4.9;37557.989;504563.527
"Klinik Hirslanden";449067.116;64126.043;0;17441.299;530634.458
"See-Spital";102531.524;20748.055;0;20672.462;143952.041
"Spital Uster";109720.476;45592.498;0;21504.271;176817.245
"Spital Limmattal";131398.498;60024.411;30.422;17404.311;208857.642
"Spital Bülach";108017.847;32341.285;2.89;13353.145;153715.167
"Spital Zollikerberg";130051.744;41731.452;0;4039.681;175822.877
"GZO AG Spital Wetzikon";98758.803;45266.569;6.816;5744;149776.188
"Stadtspital Waid";102807.499;42312.686;4.56;7482.252;152606.997
"Schulthess Klinik";150075.734;45809.55;0;8057.782;203943.066
"Kinderspital Zürich";158333.935;82317.836;0;67315.863;307967.634
"Spital Männedorf";99714.385;36793.241;0;10626.243;147133.869
"Universitätsklinik Balgrist";113699.317;49391.954;0;14382.7;177473.971
"Spital Affoltern";33078.771;10160.938;0;8395.746;51635.455
"Limmatklinik";16682.337;4497.483;0;177.251;21357.071
"Klinik Lengg";15373.278;4760.216;0;3379.652;23513.146
"Uroviva Klinik für Urologie";15194.129;902.715;0;1251.862;17348.706
"Adus Medica";7776.712;1615.553;0;537.646;9929.911
"Klinik Susenberg";4670.441;52.713;0;220.697;4943.851
"Sune-Egge";5876.938;1023.952;0;3889.977;10790.867
"Spitäler mit Zürcher Leistungsauftrag";3320326.551;1383649.789;252.789;525660.542;5229889.671
"Geburtshaus Zürcher Oberland";2800.584;323.792;0;176.772;3301.148
"Geburtshaus Delphys";1956.801;286.788;0;187.832;2431.421
"Geburtshäuser mit Zürcher Leistungsauftrag";4757.385;610.58;0;364.604;5732.569
"Klinik Im Park";147057.672;25179.703;0;5402.77;177640.145
"Privatklinik Bethanien";64116.941;3341.127;0;1660.385;69118.453
"Klinik Lindberg";27064.266;2963.378;0;648.081;30675.725
"Klinik Pyramide am See";16549.002;8.752;0;107.749;16665.503
"Klinik Tiefenbrunnen";291.299;1181.174;0;0.001;1472.474
"Spitäler ohne Zürcher Leistungsauftrag";255079.18;32674.134;0;7818.986;295572.3
"Total Kanton Zürich";3580163.116;1416934.503;252.789;533844.132;5531194.54
"Spitäler Schaffhausen";102614.614;48574.806;0;13658.189;164847.609
