"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Universitätsspital Zürich";8935;68.8752098489088;25.1594851706771;18.7688864017907
"Kantonsspital Winterthur";4108;77.2395326192794;13.2424537487829;15.5550146056475
"Stadtspital Triemli";3689;73.7598265112497;16.156139875305;27.6497695852535
"Klinik Hirslanden";1989;73.805932629462;24.8366013071895;14.3790849673203
"See-Spital";881;78.2065834279228;18.6152099886493;16.3450624290579
"Spital Uster";1116;77.6881720430108;12.7240143369176;18.6379928315412
"Spital Limmattal";1389;74.5860331173506;16.3426925845932;15.4067674586033
"Spital Bülach";1212;78.8778877887789;15.0990099009901;14.9339933993399
"Spital Zollikerberg";1285;82.2568093385214;6.38132295719844;15.875486381323
"GZO AG Spital Wetzikon";921;79.5874049945711;15.5266015200869;13.0293159609121
"Stadtspital Waid";1051;75.4519505233111;26.6412940057089;15.9847764034253
"Schulthess Klinik";1091;70.2108157653529;18.4234647112741;9.99083409715857
"Kinderspital Zürich";2606;83.9984650805833;15.1573292402149;14.3514965464313
"Spital Männedorf";976;78.9959016393443;13.1147540983607;15.4713114754098
"Universitätsklinik Balgrist";1227;68.7041564792176;20.0488997555012;13.2029339853301
"Spital Affoltern";546;80.03663003663;15.018315018315;13.5531135531136
"Limmatklinik";51;86.2745098039216;21.5686274509804;5.88235294117647
"Klinik Lengg";317;79.4952681388013;28.0757097791798;18.2965299684543
"Uroviva Klinik für Urologie";89;70.7865168539326;24.7191011235955;6.74157303370786
"Adus Medica";43;72.0930232558139;34.8837209302326;2.32558139534884
"Klinik Susenberg";106;83.9622641509434;28.3018867924528;13.2075471698113
"Sune-Egge";63;57.1428571428571;34.9206349206349;9.52380952380952
"Spitäler mit Zürcher Leistungsauftrag";33691;74.7024427888754;18.8299545872785;17.2716749280223
"Geburtshaus Zürcher Oberland";43;100;16.2790697674419;2.32558139534884
"Geburtshaus Delphys";26;96.1538461538462;11.5384615384615;0
"Geburtshäuser mit Zürcher Leistungsauftrag";69;98.5507246376812;14.4927536231884;1.44927536231884
"Klinik Im Park";596;71.6442953020134;31.8791946308725;8.7248322147651
"Privatklinik Bethanien";273;72.8937728937729;20.8791208791209;8.05860805860806
"Klinik Lindberg";140;75.7142857142857;24.2857142857143;7.14285714285714
"Klinik Pyramide am See";135;70.3703703703704;27.4074074074074;2.96296296296296
"Klinik Tiefenbrunnen";20;95;20;0
"Spitäler ohne Zürcher Leistungsauftrag";1164;72.680412371134;27.6632302405498;7.56013745704467
"Total Kanton Zürich";34924;74.6821669911808;19.115794296186;16.9167334784103
"Spitäler Schaffhausen";1341;78.1506338553318;24.8322147651007;15.8836689038031
