"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";3952;125;5688;1254;694;149;65;359;106;1546;74;4225;97;1432;149;186;168;87;1;10;7;100;92;20566;512;254;7;108;13;894;15;1318
"Dermatologie";"DER1";81;0;18;5;1;0;0;0;0;1;0;2;0;27;0;0;0;0;0;0;0;0;2;137;1;0;0;1;0;2;0;1
"";"DER1.1";65;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;1;0;1;0;1
"";"DER1.2";2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"DER2";9;0;9;1;2;0;0;2;0;1;0;4;1;0;1;1;1;0;0;0;0;0;2;34;2;0;0;0;0;2;0;1
"Hals-Nasen-Ohren";"HNO1";215;1;17;21;1;27;1;5;0;3;0;23;0;64;1;0;2;94;0;0;0;0;0;475;2;2;0;6;0;10;0;23
"";"HNO1.1";178;3;1;12;2;2;0;3;0;1;0;19;0;20;0;0;0;21;0;0;0;0;0;262;2;13;0;4;0;19;0;18
"";"HNO1.1.1";10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;1
"";"HNO1.2";141;0;0;76;8;30;17;3;4;18;0;37;0;3;4;0;0;228;0;0;1;0;0;570;9;14;1;37;0;61;0;22
"";"HNO1.2.1";4;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;
"";"HNO1.3";96;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;8;0;0;0;8;0;9
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"HNO1.3.2";10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0;1;0;0;0;1;0;
"";"HNO2";79;2;76;78;0;8;0;8;11;17;0;0;0;0;1;0;0;0;0;0;0;0;0;280;4;11;0;10;0;25;0;2
"";"KIE1";100;2;1;1;0;0;0;0;0;1;0;0;0;9;0;0;0;20;0;0;0;0;2;136;2;1;0;2;0;5;0;7
"Neurochirurgie";"NCH1";219;1;0;65;1;0;0;1;0;0;0;0;0;16;0;0;0;2;0;0;0;0;0;305;1;1;0;0;0;2;0;14
"";"NCH1.1";25;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;1
