"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Universitätsspital Zürich";29.1944910362791;53.2594286437978;0.00277541962818913;17.5433049002949
"Kantonsspital Winterthur";35.317106398092;58.6059553321293;0.00531467924721104;6.07162359053149
"Stadtspital Triemli";28.5033421997051;60.0145242378304;0.00167415179720444;11.4804594106673
"Klinik Hirslanden";12.1989568830994;81.1771923330908;0;6.62385078380982
"See-Spital";18.4407096895041;66.8010211721327;0;14.7582691383632
"Spital Uster";28.3794625413847;59.7795845273407;0;11.8409529312746
"Spital Limmattal";33.7753169527562;57.3893418677194;0.0363633492874177;8.79897783023701
"Spital Bülach";25.9211987072913;64.2978737373518;0.0053304426810899;9.77559711267575
"Spital Zollikerberg";26.8238353579774;70.3422231897941;0;2.83394145222856
"GZO AG Spital Wetzikon";29.9464484186315;65.2811831379502;0.00861821359982782;4.76375022981847
"Stadtspital Waid";30.2215211780423;60.1240797155099;0.00146899597426206;9.65293011047359
"Schulthess Klinik";31.6519637494546;57.625634776489;0;10.7224014740564
"Kinderspital Zürich";29.5368011337191;51.4765984715171;0;18.9866003947638
"Spital Männedorf";31.9093089224411;59.6821447308415;0;8.40854634671737
"Universitätsklinik Balgrist";30.4303747309771;58.2988291700975;0;11.2707960989253
"Spital Affoltern";26.40028364518;56.6906977989692;0;16.9090185558509
"Limmatklinik";22.6137851142255;75.0064647094978;0;2.37975017627676
"Klinik Lengg";22.7930135978912;63.0246163611271;0;14.1823700409816
"Uroviva Klinik für Urologie";8.24231649744682;81.5268866676016;0;10.2307968349515
"Adus Medica";29.9327566773264;65.7938291221137;0;4.27341420055985
"Klinik Susenberg";1.29655230682304;91.4736525270234;0;7.22979516615357
"Sune-Egge";15.1545772616735;48.6402738383295;0;36.205148899997
"Spitäler mit Zürcher Leistungsauftrag";28.0624857918279;59.9156349159737;0.00343953860402095;12.0184397535944
"Geburtshaus Zürcher Oberland";12.8203477517865;84.2652781342655;0;2.91437411394806
"Geburtshaus Delphys";15.6599906414317;79.8376259637415;0;4.50238339482682
"Geburtshäuser mit Zürcher Leistungsauftrag";13.96807774731;82.4757047958765;0;3.5562174568136
"Klinik Im Park";16.5892525875358;77.4743745718279;0;5.93637284063629
"Privatklinik Bethanien";6.5852519759437;84.3522298099638;0;9.06251821409248
"Klinik Lindberg";11.1089863795974;80.2426454991808;0;8.64836812122182
"Klinik Pyramide am See";1.23982917879724;98.327714589358;0;0.432456231844808
"Klinik Tiefenbrunnen";79.9998590348114;20.0001409651886;0;0
"Spitäler ohne Zürcher Leistungsauftrag";12.7992113839788;80.5945598092909;0;6.60622880673025
"Total Kanton Zürich";27.2340286205707;61.0417481678131;0.00325256619377243;11.7209706454224
"Spitäler Schaffhausen";32.8835249961607;63.4248651938147;0;3.69160981002458
