"Spitalname";"Akutsomatik";"Rehabilitation";"Psychiatrie";"Total"
"Universitätsspital Zürich";38705;0;62;38767
"Kantonsspital Winterthur";26694;0;43;26737
"Stadtspital Triemli";24746;0;0;24746
"Klinik Hirslanden";19539;0;0;19539
"See-Spital Standort Horgen";7415;0;0;7415
"See-Spital Standort Kilchberg";2109;0;0;2109
"Spital Uster";10370;0;0;10370
"Spital Limmattal";12765;0;0;12765
"Spital Bülach";10096;0;0;10096
"Spital Zollikerberg";11428;0;0;11428
"GZO AG Spital Wetzikon";9932;0;0;9932
"Stadtspital Waid";8615;0;0;8615
"Schulthess Klinik";8294;0;0;8294
"Kinderspital Zürich";8212;234;49;8495
"Spital Männedorf";8328;0;0;8328
"Universitätsklinik Balgrist";6533;227;0;6760
"Spital Affoltern";2563;0;378;2941
"Limmatklinik";2019;0;0;2019
"Klinik Lengg";941;557;0;1498
"Uroviva Klinik für Urologie";1397;0;0;1397
"Adus Medica";779;0;0;779
"Klinik Susenberg";197;218;0;415
"Sune-Egge";157;0;0;157
"Spitäler mit Zürcher Leistungsauftrag";221834;1236;532;223602
"Geburtshaus Zürcher Oberland";818;0;0;818
"Geburtshaus Delphys";542;0;0;542
"Geburtshäuser mit Zürcher Leistungsauftrag";1360;0;0;1360
"Klinik Im Park";6702;0;0;6702
"Privatklinik Bethanien";3796;0;0;3796
"Klinik Lindberg";1708;0;0;1708
"Klinik Pyramide am See";1482;0;0;1482
"Klinik Tiefenbrunnen";86;0;0;86
"Spitäler ohne Zürcher Leistungsauftrag";13774;0;0;13774
"Total Kanton Zürich";236968;1236;532;238736
"Spitäler Schaffhausen";10056;516;728;11300
