"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Universitätsspital Zürich";269288;279179;278539;-0.229243603566176
"Kantonsspital Winterthur";142442;137650;136378;-0.924082818743188
"Stadtspital Triemli";136812;127682;123324;-3.41316708698172
"Klinik Hirslanden";108600;105061;104283;-0.740522172832925
"See-Spital Standort Horgen";40651;40593;40677;0.206932229694767
"See-Spital Standort Kilchberg";13729;12257;9890;-19.3114138859427
"Spital Uster";62802;59913;59465;-0.747750905479616
"Spital Limmattal";56299;54518;52433;-3.82442496056349
"Spital Bülach";53791;51756;51238;-1.00085014297859
"Spital Zollikerberg";55461;52942;53632;1.30331305957463
"GZO AG Spital Wetzikon";44851;44066;42555;-3.42894748785912
"Stadtspital Waid";71574;64516;57488;-10.8934217868436
"Schulthess Klinik";47548;44833;36382;-18.849954274753
"Kinderspital Zürich";43530;46084;45026;-2.29580765558546
"Spital Männedorf";42060;41165;41559;0.957123770193125
"Universitätsklinik Balgrist";25352;26300;27316;3.86311787072244
"Spital Affoltern";21666;21638;21652;0.064700989000821
"Paracelsus-Spital Richterswil";12163;11197;10093;-9.85978387067965
"Limmatklinik";2745;2863;3141;9.71009430667131
"Klinik Lengg";6055;5750;5403;-6.03478260869565
"Uroviva Klinik für Urologie";3072;3550;3321;-6.45070422535211
"Adus Medica";1396;1401;1805;28.836545324768
"Klinik Susenberg";3710;3767;3375;-10.4061587470135
"Sune-Egge";6731;7747;6947;-10.3265780302052
"Spitäler mit Zürcher Leistungsauftrag";1272328;1246428;1215922;-2.4474739014207
"Geburtshaus Zürcher Oberland";2977;2974;3337;12.2057834566241
"Geburtshaus Delphys";1630;1574;1605;1.96950444726811
"Geburtshäuser mit Zürcher Leistungsauftrag";4607;4548;4942;8.66314863676341
"Klinik Im Park";32410;30379;30582;0.668224760525371
"Privatklinik Bethanien";18506;16503;16560;0.345391746955093
"Klinik Lindberg";5472;5865;5774;-1.55157715260017
"Klinik Pyramide am See";4621;4755;4186;-11.9663512092534
"Klinik Tiefenbrunnen";140;105;109;3.80952380952382
"Eulachklinik";12;3;;
"Spitäler ohne Zürcher Leistungsauftrag";61161;57610;57211;-0.692588092345081
"Total Kanton Zürich";1338096;1308586;1278075;-2.33160067431564
"Spitäler Schaffhausen";53255;50591;;-5.00234719744624
