"Spitalname";"Anzahl bewertete Austritte";"Inlier in %";"High Outlier in %";"Low Outlier in %";"Verlegungsabschlag in %";"Unbewertete in %";"CMI"
"Universitätsspital Zürich";41897;78.4972671074301;5.72117335370074;13.3875933837745;2.39396615509464;0.0453493090197389;1.59755447661724
"Kantonsspital Winterthur";27438;79.8345360449012;3.9397915299949;14.8735330563452;1.35213936875866;0.0473795466141847;1.04171869382224
"Stadtspital Triemli";24328;78.6295626438671;3.96251233146991;14.3168365669188;3.09108845774416;0.0287734297928313;1.0657239915691
"Klinik Hirslanden";18292;78.6026678329324;5.49967198775421;14.8917559588891;1.00590422042423;0;1.42764266181665
"See-Spital Standort Horgen";7266;83.0167905312414;4.40407376823562;9.38618221855216;3.19295348197082;0;0.871905448376115
"See-Spital Standort Kilchberg";2730;85.9340659340659;0.952380952380952;12.9304029304029;0.183150183150183;0;1.00332535881918
"Spital Uster";10427;82.6987628272753;5.57207250407596;9.20686678814616;2.52229788050254;0.00959048623765225;0.910552297908982
"Spital Limmattal";11164;79.6399140093157;3.55607309208169;14.7527767825152;2.05123611608742;0;0.87816594349803
"Spital Bülach";10326;84.0499709471238;3.37013364323068;9.72302924656208;2.85686616308348;0.0290528762347472;0.878102866906414
"Spital Zollikerberg";10781;89.5093219552917;2.20758742231704;6.12188108709767;2.16120953529357;0.00927557740469344;0.851260716901889
"GZO AG Spital Wetzikon";10366;83.7063476750916;2.35384912213004;10.9974918001158;2.94231140266255;0.019293845263361;0.872303743100111
"Stadtspital Waid";8347;78.2796214208698;5.8464118845094;8.90140170121002;6.97256499341081;0;1.03921382159898
"Schulthess Klinik";7909;85.9274244531546;2.07358705272474;11.0001264382349;0.9988620558857;0;1.31979373612338
"Kinderspital Zürich";8093;69.4921537130854;5.75806252316817;22.5627085135302;2.18707525021624;0.0370690720375633;1.48623063967201
"Spital Männedorf";7685;83.1099544567339;3.85165907612232;10.2407286922576;2.79765777488614;0;0.959575589143695
"Universitätsklinik Balgrist";5072;86.1593059936909;3.23343848580442;8.22160883280757;2.38564668769716;0;1.36917959511492
"Spital Affoltern";3476;76.3233601841197;2.79056386651323;10.7307249712313;10.1553509781358;0;0.904324625090399
"Paracelsus-Spital Richterswil";2204;85.7078039927405;2.63157894736842;7.3956442831216;4.26497277676951;0.0907441016333938;0.719013064457425
"Limmatklinik";1584;82.7020202020202;0.126262626262626;16.9823232323232;0.189393939393939;0;0.893530297196574
"Klinik Lengg";878;89.9772209567198;5.01138952164009;4.89749430523918;0.113895216400911;0;1.46636777225211
"Uroviva Klinik für Urologie";1099;96.2693357597816;1.27388535031847;1.0919017288444;1.36487716105551;0;0.862920750315565
"Adus Medica";1096;47.6277372262774;0;52.007299270073;0.364963503649635;0;0.652763142773922
"Klinik Susenberg";207;37.6811594202899;0.966183574879227;0;61.3526570048309;0;1.84545700683974
"Spitäler mit Zürcher Leistungsauftrag";222665;80.4836862551366;4.22024116946983;12.7617721689534;2.53430040644017;0.0229043630566097;1.15937635361749
"Geburtshaus Zürcher Oberland";856;88.4345794392523;1.75233644859813;2.33644859813084;7.47663551401869;0;0.398964834086179
"Geburtshaus Delphys";500;80.4;0.2;3;16.4;0;0.389484199002385
"Geburtshäuser mit Zürcher Leistungsauftrag";1356;85.4719764011799;1.17994100294985;2.5811209439528;10.7669616519174;0;0.3954690246895
"Klinik Im Park";6767;70.3413624944584;3.42840254174671;24.7376976503621;1.49253731343284;0;1.241445280595
"Privatklinik Bethanien";3765;83.4262948207171;2.20451527224436;13.8114209827357;0.557768924302789;0.0265604249667995;0.924887497776533
"Klinik Lindberg";1392;80.3879310344828;3.01724137931034;15.8045977011494;0.790229885057471;0;1.05731918646729
"Klinik Pyramide am See";1733;58.0496249278707;1.5002885170225;40.1615695326024;0.288517022504328;0;0.902846283587292
"Klinik Tiefenbrunnen";61;62.2950819672131;0;37.7049180327869;0;0;0.747983608578072
"Spitäler ohne Zürcher Leistungsauftrag";13718;73.3634640618166;2.79195217961802;22.8386062108179;1.00597754774749;0.00728969237498178;1.09091045050718
"Total Kanton Zürich";237739;80.101287546427;4.12048506976138;13.2851572522809;2.4930701315308;0.0218727259726002;1.15106861447123
"Spitäler Schaffhausen";9400;79.2234042553192;5.32978723404255;15.4468085106383;0;0.074468085106383;0.891420106924278
