"Tabelle A2.1 Personalbestand in VZÄ 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, Spitäler Schaffhausen Daten 2016-2017"
"Tabelle A2.2 Personalbestand in VZÄ nach Berufsgruppen 2018";"Krankenhausstatistik KS Daten 2018, Spitäler Schaffhausen Daten 2017"
"Tabelle A2.3 Beschäftigte am 31. Dezember 2018 nach Geschlecht, Diplomherkunft und Ausbildungsstatus";"Krankenhausstatistik KS Daten 2018, Spitäler Schaffhausen Daten 2017"
"Tabelle A3.1 Kostenverteilung nach Leistungsart 2018";"Krankenhausstatistik KS Daten 2018, Spitäler Schaffhausen Daten 2017"
"Tabelle A3.2 Betriebsaufwand in 1000 Fr. 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, Spitäler Schaffhausen Daten 2016-2017"
"Tabelle A3.3 Betriebsertrag in 1000 Fr. 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, Spitäler Schaffhausen Daten 2016-2017"
"Tabelle A4.1 Austritte Gesamtbetrieb 2016 -- 2018";"Medizinische Statistik PRISMA Daten 2016-2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle A4.2 Austritte nach Leistungsart 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.3 Austritte Akutsomatik 2016 -- 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.4 Austritte Akutsomatik nach SPLG 2018";"Medizinische Statistik PRISMA Daten 2018"
"Tabelle A4.5 Mindestfallzahl-Vorgaben und Austritte je SPLG 2018";"Medizinische Statistik PRISMA Daten 2018"
"Tabelle A4.6 Austritte und verschiedene Merkmale Akutsomatik 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.7 Austritte nach SwissDRG-Merkmalen 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.8 Austritte Akutsomatik nach Herkunftskanton 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.9 Austritte Akutsomatik nach Wohnregion 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.10 Austritte Akutsomatik nach Altersgruppe 2018";"Medizinische Statistik PRISMA Daten 2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017"
"Tabelle A4.11 Pflegetage Akutsomatik 2016 -- 2018";"Medizinische Statistik PRISMA Daten 2016 -- 2018, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016 -- 2017"
"Tabelle A4.12 Mittlere Aufenthaltsdauer in Tagen Akutsomatik 2016 -- 2018";"Medizinische Statistik PRISMA Daten 2016-2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle A4.13 Bettenbestand 2016 -- 2018";"Krankenhausstatistik KS Daten 2016-2018, Spitäler Schaffhausen: Daten 2016-2017"
"Tabelle A4.14 Bettenbelegung 2016 -- 2018";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2016 -- 2018, Pflegetage: Medizinische Statistik PRISMA Daten 2016-2018, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2016-2017"
"Tabelle A4.15 Anzahl Betten Akutsomatik pro Einwohner nach Wohnregion 2018";"Krankenhausstatistik KS, Kantonale Bevölkerungserhebung, Statistisches Amt des Kantons Zürich, Daten 2018"
"Tabelle A5.1 Austritte der Zürcher Wohnbevölkerung nach Kantonen 2016 -- 2017";"Medizinische Statistik BFS Daten 2016-2017"
"Tabelle A5.2 Austritte und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.3.1 Zürcher Wohnbevölkerung nach Wohnregion 2017";"Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich, Daten 2017"
"Tabelle A5.3.2 Spitalhäufigkeit nach Wohnregion 2017";"Medizinische Statistik BFS, Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich, Daten 2017"
"Tabelle A5.4 Austritte der Zürcher Wohnbevölkerung nach Wohnregion und Behandlungsort 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5 Austritte der Zürcher Wohnbevölkerung nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.1 Austritte der Bevölkerung mit Wohnregion Zürich nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.2 Austritte der Bevölkerung mit Wohnregion Winterthur nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.3 Austritte der Bevölkerung mit Wohnregion Unterland nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.4 Austritte der Bevölkerung mit Wohnregion Limmattal nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.5 Austritte der Bevölkerung mit Wohnregion Linkes Seeufer nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.6 Austritte der Bevölkerung mit Wohnregion Rechtes Seeufer nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.7 Austritte der Bevölkerung mit Wohnregion Oberes Glattal nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
"Tabelle A5.5.8 Austritte der Bevölkerung mit Wohnregion Oberland nach SPLG 2017";"Medizinische Statistik BFS Daten 2017"
