"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Universitätsspital Zürich";1329172.4;1372673.209;1448567.413;5.52893460019441
"Kantonsspital Winterthur";500634.777;504896.314;513331.271;1.6706315269317
"Stadtspital Triemli";446623.462;444545.671;448442.113;0.876499818620413
"Klinik Hirslanden";428758.56;420132.97;405155.508;-3.56493373990621
"See-Spital";154405.046;149283.392;142984.239;-4.21959396528181
"Spital Uster";148521.587;145856.99;149996.844;2.83829660820507
"Spital Limmattal";172775.453;176947.266;174191.293;-1.55751092531715
"Spital Bülach";137211.542;137467.767;141624.051;3.02346076516977
"Spital Zollikerberg";155019.715;154972.274;155747.962;0.500533405091552
"GZO AG Spital Wetzikon";141486.4;146075.57;144053.951;-1.38395420945474
"Stadtspital Waid";154856.844;150428.721;145766.149;-3.0995224641975
"Schulthess Klinik";200619.22;200735.158;197507.548;-1.60789471667937
"Kinderspital Zürich";285601.924;295514.616;299203.297;1.24822286285835
"Spital Männedorf";123910.21;124781.086;127612.083;2.26877092574753
"Universitätsklinik Balgrist";169698.809;172572.442;176954.828;2.53944717314714
"Spital Affoltern";72447.253;71836.016;70318.103;-2.11302503190043
"Paracelsus-Spital Richterswil";41281.535;39909.18;37679.03;-5.58806269635207
"Limmatklinik";20882.277;22806.782;21647.135;-5.08465858971249
"Klinik Lengg";38385.297;38402.621;38749.945;0.904427851421907
"Uroviva Klinik für Urologie";15005.086;16620.19;15243.39;-8.28390048489216
"Adus Medica";8533.927;8333.187;8564.046;2.77035664746272
"Klinik Susenberg";11458.732;11070.156;11052.521;-0.15930218146879
"Sune-Egge";11478.139;11528.819;11061.426;-4.05412731347418
"Spitäler mit Zürcher Leistungsauftrag";4768768.195;4817390.397;4885454.146;1.41287592225006
"Geburtshaus Zürcher Oberland";3258.547;3217.911;3717.064;15.5117093045768
"Geburtshaus Delphys";2220.114;2162.015;2217.113;2.54845595428339
"Geburtshäuser mit Zürcher Leistungsauftrag";5478.661;5379.926;5934.177;10.3022049002161
"Klinik Im Park";163834.06;157172.127;150969.755;-3.9462289646306
"Privatklinik Bethanien";61208.16;57507.694;61344.182;6.67126037082968
"Klinik Lindberg";20042.47;21814.37;22695.255;4.03809507219324
"Klinik Pyramide am See";19876.655;20472.602;18509.997;-9.58649516070309
"Klinik Tiefenbrunnen";1620.383;1463.082;1299.637;-11.171280898815
"Eulachklinik";3128.331;3442.28;;
"Spitäler ohne Zürcher Leistungsauftrag";269710.059;261872.155;254818.826;-2.69342458345753
"Total Kanton Zürich";5043956.915;5084642.478;5146207.149;1.21079645749678
"Spitäler Schaffhausen";198019.46;196160.821;;-0.938614315986919
