"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Universitätsspital Zürich";1276893.446;1335848.328;1391269.128;4.14873446620805
"Kantonsspital Winterthur";470868.383;495142.751;496950.297;0.365055531227987
"Stadtspital Triemli";469872.161;463078.194;452752.974;-2.22969255166439
"Klinik Hirslanden";380588.097;381009.047;379274.867;-0.455154546500836
"See-Spital";146762.62;141785.996;139369.566;-1.70427973718927
"Spital Uster";142291.09;147230.271;149224.323;1.35437637006046
"Spital Limmattal";161308.814;170228.514;179489.405;5.44027013006763
"Spital Bülach";130669.262;134483.493;138761.358;3.1809591679776
"Spital Zollikerberg";146016.522;147308.733;150840.55;2.39756118192938
"GZO AG Spital Wetzikon";139141.292;144906.308;153881.448;6.19375382885334
"Stadtspital Waid";162111.947;161731.914;156801.528;-3.04849295235571
"Schulthess Klinik";194134.394;202684.861;207762.691;2.5052833126989
"Kinderspital Zürich";283437.559;292504.346;297214.135;1.61016034954913
"Spital Männedorf";122923.983;125054.413;123025.231;-1.62263925864016
"Universitätsklinik Balgrist";160518.46;165337.209;169158.878;2.31143916309848
"Spital Affoltern";72189.913;71453.312;71010.787;-0.619320487201502
"Paracelsus-Spital Richterswil";41963.335;40349.635;40966.06;1.5277089867108
"Limmatklinik";21172.69;21951.295;20566.543;-6.30829297314806
"Klinik Lengg";39065.636;38904.384;37052.895;-4.75907548105633
"Uroviva Klinik für Urologie";13913.484;14800.179;14829.23;0.196288166514735
"Adus Medica";8401.947;8059.371;9121.974;13.1846889788297
"Klinik Susenberg";10295.556;10490.58;10359.114;-1.25318142562185
"Sune-Egge";10756.014;11016.206;11476.747;4.18057723321441
"Spitäler mit Zürcher Leistungsauftrag";4605296.605;4725359.34;4801159.729;1.60411904251074
"Geburtshaus Zürcher Oberland";3172.126;3251.572;3673.254;12.9685579774952
"Geburtshaus Delphys";2164.489;2138.408;2203.604;3.04881014287264
"Geburtshäuser mit Zürcher Leistungsauftrag";5336.615;5389.98;5876.858;9.03302053068844
"Klinik Im Park";157478.396;156045.903;153541.293;-1.60504694570545
"Privatklinik Bethanien";59058.854;58711.221;63714.994;8.52268597854573
"Klinik Lindberg";27265.187;28523.442;28927.964;1.41820892443485
"Klinik Pyramide am See";18085.894;17957.133;17296.913;-3.67664481852421
"Klinik Tiefenbrunnen";1565.609;1446.219;1287.482;-10.9760001770133
"Eulachklinik";3750.939;3714.335;;
"Spitäler ohne Zürcher Leistungsauftrag";267204.879;266398.253;264768.646;-0.611718350870705
"Total Kanton Zürich";4877838.099;4997147.573;5071805.233;1.49400550833003
"Spitäler Schaffhausen";180603.14;184564.775;;2.19355820723826
