"Kanton";"2016";"2017";"% Änd. Vorjahr"
"ZH";203637;201945;-0.830890260610795
"BE";760;777;2.23684210526316
"LU";581;645;11.0154905335628
"UR";27;23;-14.8148148148148
"SZ";646;730;13.0030959752322
"OW";27;29;7.40740740740742
"NW";41;39;-4.87804878048781
"GL";94;82;-12.7659574468085
"ZG";836;911;8.97129186602872
"FR";16;28;75
"SO";107;122;14.018691588785
"BS";324;336;3.7037037037037
"BL";235;217;-7.65957446808511
"SH";1172;1077;-8.10580204778157
"AR";128;148;15.625
"AI";13;11;-15.3846153846154
"SG";1478;1457;-1.42083897158322
"GR";1386;1454;4.9062049062049
"AG";1210;1349;11.4876033057851
"TG";1215;1170;-3.70370370370371
"TI";342;342;0
"VD";133;147;10.5263157894737
"VS";158;174;10.126582278481
"NE";11;9;-18.1818181818182
"GE";43;46;6.9767441860465
"JU";11;8;-27.2727272727273
"Total ohne Zürich";10994;11331;3.06530835000909
"Total Zürcher PatientInnen";214631;213276;-0.631316072701515
