"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";4411;118;6119;1330;834;338;62;196;81;1734;52;4543;103;1558;81;187;159;46;106;4;4;5;100;75;22246;410;219;8;225;11;873;9;1189
"Dermatologie";"DER1";87;1;10;6;3;1;0;7;0;0;1;9;0;14;1;0;0;1;0;0;0;0;0;1;142;1;0;0;0;0;1;0;3
"";"DER1.1";57;0;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;64;2;0;0;0;0;2;0;1
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"DER2";14;1;8;6;0;1;0;0;0;4;0;10;0;1;0;1;0;1;0;0;0;0;0;3;50;3;1;0;0;0;4;0;
"Hals-Nasen-Ohren";"HNO1";297;3;19;23;14;70;2;11;0;3;0;29;0;102;6;0;0;0;34;0;0;37;0;0;650;4;11;0;22;0;37;1;25
"";"HNO1.1";270;2;0;11;4;3;2;3;0;0;0;27;0;36;2;1;0;0;18;0;0;4;0;0;383;2;16;0;2;0;20;0;11
"";"HNO1.1.1";4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"HNO1.2";178;4;0;74;9;20;7;3;0;17;1;37;0;2;1;0;0;0;43;0;0;79;0;0;475;13;0;0;6;0;19;0;20
"";"HNO1.2.1";0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
