"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Universitätsspital Zürich";8623;69.1522671923924;23.5532877188913;19.4711817232982
"Kantonsspital Winterthur";3525;77.0496453900709;15.2624113475177;15.9432624113475
"Stadtspital Triemli";2840;75.9154929577465;17.7464788732394;18.0985915492958
"Klinik Hirslanden";1696;74.2334905660377;26.1792452830189;16.5683962264151
"See-Spital";889;77.5028121484814;20.2474690663667;14.8481439820022
"Spital Uster";1192;79.8657718120805;10.3187919463087;18.5402684563758
"Spital Limmattal";1277;77.9169929522318;16.0532498042287;15.7400156617071
"Spital Bülach";1152;80.0347222222222;18.75;16.7534722222222
"Spital Zollikerberg";1030;80;26.7961165048544;14.6601941747573
"GZO AG Spital Wetzikon";895;80.2234636871508;10.391061452514;3.35195530726257
"Stadtspital Waid";1152;75.3472222222222;21.9618055555556;19.7048611111111
"Schulthess Klinik";1143;70.3412073490814;19.5100612423447;4.81189851268591
"Kinderspital Zürich";2325;83.741935483871;16.1720430107527;14.7956989247312
"Spital Männedorf";901;76.69256381798;3.77358490566038;14.9833518312986
"Universitätsklinik Balgrist";1138;69.6836555360281;21.0017574692443;12.4780316344464
"Spital Affoltern";566;82.1554770318021;16.4310954063604;13.2508833922261
"Paracelsus-Spital Richterswil";219;84.9315068493151;30.5936073059361;6.39269406392694
"Limmatklinik";43;76.7441860465116;25.5813953488372;0
"Klinik Lengg";274;79.9270072992701;33.9416058394161;12.7737226277372
"Uroviva Klinik für Urologie";75;81.3333333333333;25.3333333333333;1.33333333333333
"Adus Medica";39;92.3076923076923;15.3846153846154;5.12820512820513
"Klinik Susenberg";117;78.6324786324786;20.5128205128205;11.965811965812
"Sune-Egge";69;49.2753623188406;26.0869565217391;5.79710144927536
"Spitäler mit Zürcher Leistungsauftrag";31180;75.1218729955099;19.4547787042976;16.0744066709429
"Geburtshaus Zürcher Oberland";46;100;13.0434782608696;2.17391304347826
"Geburtshaus Delphys";22;95.4545454545455;13.6363636363636;0
"Geburtshäuser mit Zürcher Leistungsauftrag";68;98.5294117647059;13.2352941176471;1.47058823529412
"Klinik Im Park";591;69.2047377326565;37.5634517766497;7.27580372250423
"Privatklinik Bethanien";244;73.7704918032787;19.2622950819672;7.78688524590164
"Klinik Lindberg";143;76.9230769230769;93.7062937062937;6.29370629370629
"Klinik Pyramide am See";120;66.6666666666667;26.6666666666667;1.66666666666667
"Klinik Tiefenbrunnen";21;95.2380952380952;19.047619047619;0
"Spitäler ohne Zürcher Leistungsauftrag";1119;71.4030384271671;39.2314566577301;6.5236818588025
"Total Kanton Zürich";32367;75.04248153984;20.1254364012729;15.7135353909846
"Spitäler Schaffhausen";1268;75.6309148264984;21.8454258675079;15.0630914826498
