"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Universitätsspital Zürich";1282.802;2183.851;1062.626;1156.206;713.346;189.188;6588.019
"Kantonsspital Winterthur";459.796;1141.086;323.724;421.484;190.88;60.296;2597.266
"Stadtspital Triemli";389.89;821.395;241.44;357.948;318.156;36.34;2165.169
"Klinik Hirslanden";94.53;567.672;185.437;187.67;207.184;20.78;1263.273
"See-Spital";92.042;250.974;88.754;96.936;108.722;13.61;651.038
"Spital Uster";138.138;400.42;77.243;112.114;99.844;14.32;842.079
"Spital Limmattal";158.106;343.486;136.013;151.546;130.458;11.8;931.409
"Spital Bülach";134.774;377.96;105.495;120.322;91.93;12.278;842.759
"Spital Zollikerberg";122.64;296.73;101.319;143.346;64.374;17.71;746.119
"GZO AG Spital Wetzikon";111.48;303.25;76.902;127;72.84;16.7;708.172
"Stadtspital Waid";149.782;397.602;112.081;125.322;107.534;14.472;906.793
"Schulthess Klinik";129.296;276.8;168.536;227.358;109.2;12.74;923.93
"Kinderspital Zürich";297.522;621.049;320.537;245.81;96.496;24.466;1605.88
"Spital Männedorf";88.126;291.462;67.711;107.98;89.002;11.66;655.941
"Universitätsklinik Balgrist";115.536;263.099;173.342;177.67;109.374;13.25;852.271
"Spital Affoltern";41.528;158.298;43.693;51.482;59.166;9.206;363.373
"Paracelsus-Spital Richterswil";27.25;56.73;33.758;37.666;23.436;4.26;183.1
"Limmatklinik";0;16.876;7.58;9.62;2.79;0;36.866
"Klinik Lengg";24.38;74.961;99.861;19.298;0;0;218.5
"Uroviva Klinik für Urologie";1.35;19.44;6.16;13.27;11.5;1;52.72
"Adus Medica";1.14;15.42;5.82;4.83;0.74;0;27.95
"Klinik Susenberg";6.538;39.72;10.97;7.2;14.95;2;81.378
"Sune-Egge";4.97;22.44;8.56;6.25;8.47;1.73;52.42
"Spitäler mit Zürcher Leistungsauftrag";3871.616;8940.721;3457.562;3908.328;2630.392;487.806;23296.425
"Geburtshaus Zürcher Oberland";0;0;16.946;2.21;4.89;0;24.046
"Geburtshaus Delphys";0;0;2.88;1.37;2.73;0;6.98
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;19.826;3.58;7.62;0;31.026
"Klinik Im Park";27.5;202.312;78.195;71.4;91.83;9.48;480.717
"Privatklinik Bethanien";0;65.201;38.244;25.486;42.96;5.718;177.609
"Klinik Lindberg";0;44.346;14.51;15.74;30.36;3.34;108.296
"Klinik Pyramide am See";1.46;24.17;6.9;22.66;22.75;4.6;82.54
"Klinik Tiefenbrunnen";0;2.16;2.59;1.17;0.54;0;6.46
"Spitäler ohne Zürcher Leistungsauftrag";28.96;338.189;140.439;136.456;188.44;23.138;855.622
"Total Kanton Zürich";3900.576;9278.91;3617.827;4048.364;2826.452;510.944;24183.073
"Spitäler Schaffhausen";137.73;390.756;160.252;129.486;61.392;22.462;902.078
