"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Total"
"Universitätsspital Zürich";15740;1623;3589;2825;1230;1529;3958;1443;31937
"Kantonsspital Winterthur";268;20138;1840;78;36;74;897;933;24264
"Stadtspital Triemli";14924;190;794;3834;1032;147;426;186;21533
"Klinik Hirslanden";5539;675;1199;1270;565;2037;2022;703;14010
"See-Spital Standort Horgen";1642;33;79;123;4908;29;59;25;6898
"See-Spital Standort Kilchberg";1618;63;215;315;661;51;160;39;3122
"Spital Uster";158;699;173;35;6;91;8045;1253;10460
"Spital Limmattal";643;36;275;8735;31;16;88;18;9842
"Spital Bülach";203;193;8762;509;10;10;197;10;9894
"Spital Zollikerberg";5035;254;413;334;102;1267;2396;443;10244
"GZO AG Spital Wetzikon";118;257;76;24;16;145;1220;7868;9724
"Stadtspital Waid";6649;73;484;700;38;33;351;37;8365
"Schulthess Klinik";1632;372;668;622;210;473;726;484;5187
"Kinderspital Zürich";2306;333;858;636;310;408;734;470;6055
"Spital Männedorf";254;67;88;37;52;4821;232;763;6314
"Universitätsklinik Balgrist";1243;207;359;436;133;212;489;270;3349
"Spital Affoltern";206;2;19;2897;33;2;4;6;3169
"Paracelsus-Spital Richterswil";577;77;57;135;764;58;70;110;1848
"Limmatklinik";375;98;129;123;41;32;153;53;1004
"Klinik Lengg";127;50;39;59;21;31;42;24;393
"Uroviva Klinik für Urologie";120;24;807;64;14;8;51;7;1095
"Adus Medica";161;338;413;100;3;2;54;11;1082
"Klinik Susenberg";120;6;17;12;5;20;19;5;204
"Sune-Egge";87;8;5;8;5;1;6;3;123
"Spitäler mit Zürcher Leistungsauftrag";59745;25816;21358;23911;10226;11497;22399;15164;190116
"Geburtshaus Zürcher Oberland";25;193;13;4;2;38;103;204;582
"Geburtshaus Delphys";385;7;8;29;10;8;21;0;468
"Geburtshäuser mit Zürcher Leistungsauftrag";410;200;21;33;12;46;124;204;1050
"Klinik Im Park";2308;156;297;569;922;207;304;87;4850
"Privatklinik Bethanien";1476;160;354;304;97;186;439;97;3113
"Klinik Lindberg";16;934;71;5;2;7;32;14;1081
"Klinik Pyramide am See";519;70;109;140;81;220;161;62;1362
"Klinik Tiefenbrunnen";14;2;2;1;0;7;9;3;38
"Eulachklinik";0;1;0;0;0;0;0;0;1
"Spitäler ohne Zürcher Leistungsauftrag";4333;1323;833;1019;1102;627;945;263;10445
"Total Kanton Zürich";64488;27339;22212;24963;11340;12170;23468;15631;201611
"Spitäler Schaffhausen";25;764;51;10;0;0;13;6;869
"Ausserkantonale Nicht-Listenspitäler";2296;2254;975;2140;764;547;752;734;10462
"Total Zürcher PatientInnen";66809;30357;23238;27113;12104;12717;24233;16371;212942
