"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Universitätsspital Zürich";3812;9.0943792346598;9233;22.0273881095524;14078;33.586220059166;10208;24.3534688424468;4585;10.938543754175;41916
"Kantonsspital Winterthur";4804;17.5002732140906;4505;16.4110597063859;6735;24.5346253324105;6924;25.2231248406251;4483;16.3309169064879;27451
"Stadtspital Triemli";3986;16.3797000205465;4297;17.6576946784467;6240;25.6420793096363;5604;23.0285596876926;4208;17.2919663036778;24335
"Klinik Hirslanden";1006;5.49967198775421;2359;12.8963481303302;5804;31.7297179094686;6333;34.6216925431883;2790;15.2525694292587;18292
"See-Spital Standort Horgen";917;12.6204238921002;1563;21.5111478117258;1645;22.6396917148362;1447;19.9146710707404;1694;23.3140655105973;7266
"See-Spital Standort Kilchberg";124;4.54212454212454;459;16.8131868131868;1150;42.1245421245421;783;28.6813186813187;214;7.83882783882784;2730
"Spital Uster";1296;12.4280782508631;2084;19.9846566935175;2535;24.3095512082854;2495;23.9259685462217;2018;19.3517453011124;10428
"Spital Limmattal";1291;11.5639555714798;2516;22.5367251881046;3057;27.3826585453243;2423;21.7036904335364;1877;16.812970261555;11164
"Spital Bülach";1761;17.0490851002033;2399;23.2258689127699;2316;22.4223061283764;2089;20.224610320457;1764;17.0781295381934;10329
"Spital Zollikerberg";2436;22.5932109070673;2884;26.7482841773326;1893;17.5570395102949;1708;15.8412168428863;1861;17.2602485624188;10782
"GZO AG Spital Wetzikon";1241;11.9695216049383;2153;20.7658179012346;2771;26.7264660493827;2465;23.7750771604938;1738;16.7631172839506;10368
"Stadtspital Waid";120;1.43764226668264;925;11.0818258056787;2081;24.9311129747215;2079;24.9071522702767;3142;37.6422666826405;8347
"Schulthess Klinik";598;7.56100644834998;1115;14.0978631938298;3108;39.2970034138323;2516;31.8118599064357;572;7.23226703755216;7909
"Kinderspital Zürich";8091;99.9382411067194;5;0.0617588932806324;0;0;0;0;0;0;8096
"Spital Männedorf";810;10.5400130123617;1372;17.8529603122967;2115;27.5211450878334;1901;24.736499674691;1487;19.3493819128172;7685
"Universitätsklinik Balgrist";310;6.11198738170347;1020;20.1104100946372;2137;42.1332807570978;1258;24.8028391167192;347;6.84148264984227;5072
"Spital Affoltern";379;10.90333716916;611;17.5776754890679;806;23.1875719217491;853;24.5397008055236;827;23.7917146144994;3476
"Paracelsus-Spital Richterswil";530;24.0253853127833;768;34.8141432456936;457;20.716228467815;288;13.0553037171351;163;7.38893925657298;2206
"Limmatklinik";312;19.6969696969697;404;25.5050505050505;533;33.6489898989899;274;17.2979797979798;61;3.8510101010101;1584
"Klinik Lengg";252;28.7015945330296;319;36.3325740318907;234;26.6514806378132;58;6.60592255125285;15;1.70842824601367;878
"Uroviva Klinik für Urologie";9;0.818926296633303;125;11.3739763421292;389;35.3958143767061;445;40.49135577798;131;11.9199272065514;1099
"Adus Medica";212;19.3430656934307;338;30.8394160583942;415;37.8649635036496;113;10.3102189781022;18;1.64233576642336;1096
"Klinik Susenberg";0;0;2;0.966183574879227;17;8.21256038647343;61;29.4685990338164;127;61.3526570048309;207
"Sune-Egge";0;0;28;21.875;100;78.125;0;0;0;0;128
"Spitäler mit Zürcher Leistungsauftrag";34297;15.3905871371901;41484;18.6157132343702;60616;27.2010913464127;52325;23.4805514171349;34122;15.312056864892;222844
"Geburtshaus Zürcher Oberland";418;48.8317757009346;412;48.1308411214953;26;3.03738317757009;0;0;0;0;856
"Geburtshaus Delphys";238;47.6;253;50.6;9;1.8;0;0;0;0;500
"Geburtshäuser mit Zürcher Leistungsauftrag";656;48.377581120944;665;49.0412979351032;35;2.5811209439528;0;0;0;0;1356
"Klinik Im Park";595;8.7926703118073;853;12.6052903797842;1853;27.3828875424856;2395;35.3923452046697;1071;15.8268065612531;6767
"Privatklinik Bethanien";497;13.1970260223048;779;20.6850770047796;1203;31.94370685077;1011;26.8454593733404;276;7.3287307488051;3766
"Klinik Lindberg";39;2.80172413793103;182;13.0747126436782;561;40.301724137931;455;32.6867816091954;155;11.1350574712644;1392
"Klinik Pyramide am See";62;3.57761107905366;280;16.1569532602424;810;46.7397576457011;472;27.2360069244085;109;6.28967109059435;1733
"Klinik Tiefenbrunnen";0;0;10;16.3934426229508;42;68.8524590163934;7;11.4754098360656;2;3.27868852459016;61
"Spitäler ohne Zürcher Leistungsauftrag";1193;8.69596909395729;2104;15.3363947809607;4469;32.5752605875064;4340;31.6349588162402;1613;11.7574167213354;13719
"Total Kanton Zürich";36146;15.1925655370105;44253;18.6000277405335;65120;27.3706597623561;56665;23.8169292910612;35735;15.0198176690386;237919
"Spitäler Schaffhausen";1222;12.9903263527161;1862;19.7937705963644;2376;25.2577867545445;2168;23.0466673753588;1779;18.9114489210163;9407
