"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Ausserkantonal/Ausland";"Total"
"Universitätsspital Zürich";15085;1651;3676;2894;1397;1387;4247;1437;10142;41916
"Kantonsspital Winterthur";270;20469;1992;100;34;71;1058;716;2741;27451
"Stadtspital Triemli";15025;215;878;3647;1138;142;407;181;2702;24335
"Klinik Hirslanden";5259;679;1206;1130;560;2016;2127;676;4639;18292
"See-Spital Standort Horgen";1510;29;61;141;4786;31;53;20;635;7266
"See-Spital Standort Kilchberg";1234;34;138;219;543;52;124;40;346;2730
"Spital Uster";228;676;216;25;4;105;8067;823;284;10428
"Spital Limmattal";676;53;272;8372;36;10;74;18;1653;11164
"Spital Bülach";221;260;8644;450;11;10;209;18;506;10329
"Spital Zollikerberg";4988;269;464;375;94;1282;2469;379;462;10782
"GZO AG Spital Wetzikon";144;349;56;27;27;174;1420;7677;494;10368
"Stadtspital Waid";6424;73;485;699;36;30;288;30;282;8347
"Schulthess Klinik";1600;362;607;510;242;432;694;367;3095;7909
"Kinderspital Zürich";2301;330;814;603;280;378;771;351;2268;8096
"Spital Männedorf";309;69;87;52;60;4754;289;714;1351;7685
"Universitätsklinik Balgrist";1244;205;411;430;191;260;508;268;1555;5072
"Spital Affoltern";247;2;5;2746;30;5;8;2;431;3476
"Paracelsus-Spital Richterswil";497;50;39;93;654;52;59;82;680;2206
"Limmatklinik";416;198;190;117;37;53;138;49;386;1584
"Klinik Lengg";119;58;48;43;19;22;58;33;478;878
"Uroviva Klinik für Urologie";131;22;733;76;14;4;29;3;87;1099
"Adus Medica";223;145;360;102;0;6;64;14;182;1096
"Klinik Susenberg";124;4;9;7;5;19;24;4;11;207
"Sune-Egge";88;5;0;5;7;2;10;4;7;128
"Spitäler mit Zürcher Leistungsauftrag";58363;26207;21391;22863;10205;11297;23195;13906;35417;222844
"Geburtshaus Zürcher Oberland";31;241;24;2;2;36;117;226;177;856
"Geburtshaus Delphys";370;18;18;30;10;11;20;2;21;500
"Geburtshäuser mit Zürcher Leistungsauftrag";401;259;42;32;12;47;137;228;198;1356
"Klinik Im Park";2320;127;277;438;943;246;302;80;2034;6767
"Privatklinik Bethanien";1487;150;392;311;120;206;448;76;576;3766
"Klinik Lindberg";11;965;82;8;4;5;30;15;272;1392
"Klinik Pyramide am See";468;52;76;100;82;195;154;52;554;1733
"Klinik Tiefenbrunnen";11;2;3;4;3;2;5;3;28;61
"Spitäler ohne Zürcher Leistungsauftrag";4297;1296;830;861;1152;654;939;226;3464;13719
"Total Kanton Zürich";63061;27762;22263;23756;11369;11998;24271;14360;39079;237919
"Spitäler Schaffhausen";25;764;51;10;0;0;13;6;8538;9407
