"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Universitätsspital Zürich";28.521013541834;59.0813220032496;0.000315022382689668;12.3973494325338
"Kantonsspital Winterthur";34.1068117269623;63.3024302921644;0.00180397415444479;2.5889540067188
"Stadtspital Triemli";28.4909833830902;66.8654902764819;0;4.64352634042792
"Klinik Hirslanden";11.9505893470205;82.9993967291797;0.000957806019684664;5.04905611778008
"See-Spital";17.5729766258347;81.5938019890818;0.0114415306089062;0.821779854474616
"Spital Uster";28.8251843333367;68.3115230943507;0;2.86329257231264
"Spital Limmattal";34.5478341345923;62.8486971116474;0.00250165552890192;2.60096709823137
"Spital Bülach";29.5073254540378;69.1305359143541;0.00405926024446173;1.35807937136365
"Spital Zollikerberg";27.8540796080385;71.4065391517687;0.00972036905749824;0.729660871135375
"GZO AG Spital Wetzikon";28.4717651715625;68.2700088379106;0.0198321601644893;3.23839383036246
"Stadtspital Waid";27.9256211847965;68.2063482736001;0.0139719347254068;3.85405860687793
"Schulthess Klinik";30.271862386863;66.0045919020088;0;3.72354571112816
"Kinderspital Zürich";26.3965621224639;57.0123603134508;0;16.5910775640853
"Spital Männedorf";28.7185867815775;69.9582588424882;0;1.32315437593429
"Universitätsklinik Balgrist";30.1780735272134;61.848882119986;0;7.97304435280066
"Spital Affoltern";23.0595164482781;75.0947399719488;0;1.84574357977304
"Paracelsus-Spital Richterswil";50.6364324899302;49.0908801178737;0;0.272687392196164
"Limmatklinik";27.7779253966743;72.2220746033257;0;0
"Klinik Lengg";19.1221336945597;78.1059650636456;0;2.77190124179464
"Uroviva Klinik für Urologie";15.0648683934619;84.9351316065381;0;0
"Adus Medica";23.4765719063582;76.2770489543923;0;0.246379139249515
"Klinik Susenberg";1.07445832371667;96.0872555255953;0;2.83828615068799
"Sune-Egge";19.2654463505197;80.4562066697248;0;0.278346979755403
"Spitäler mit Zürcher Leistungsauftrag";27.3588106177121;65.8281330475753;0.00223069828074392;6.81082563643177
"Geburtshaus Zürcher Oberland";15.0466286196977;81.7368500086654;0;3.21652137163698
"Geburtshaus Delphys";13.844168167232;80.4758786112125;0;5.67995322155546
"Geburtshäuser mit Zürcher Leistungsauftrag";14.6066497617176;81.2754620650875;0;4.11788817319491
"Klinik Im Park";21.1937118324846;72.8075036093338;0;5.99878455818161
"Privatklinik Bethanien";9.24659261758883;89.4271136382463;0;1.32629374416492
"Klinik Lindberg";13.690539274869;84.8882928659396;0;1.42116785919143
"Klinik Pyramide am See";0.280359839408686;99.7196401605913;0;0
"Klinik Tiefenbrunnen";44.2400240769315;55.7599759230685;0;0
"Spitäler ohne Zürcher Leistungsauftrag";16.0305472082739;80.0979156495981;0;3.87153714212793
"Total Kanton Zürich";26.7688996537888;66.5704795719635;0.00211487395121122;6.65850590029651
"Spitäler Schaffhausen";30.1543060864507;65.04735241187;0;4.7983415016793
