"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";592;27;1308;235;38;53;15;4062;172;41;11;445;38;417;10;43;1649;20;27;0;7;39;10;7;9266;94;34;2;45;1;176;5;834
"Dermatologie";"DER1";22;0;4;2;1;0;0;21;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;2
"";"DER1.1";27;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"DER2";4;0;0;1;0;0;0;10;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;1
"Hals-Nasen-Ohren";"HNO1";97;1;5;8;1;21;0;70;0;0;0;9;0;17;0;0;22;0;5;0;0;7;0;0;263;1;0;0;6;0;7;0;24
"";"HNO1.1";86;1;0;4;0;5;0;12;0;0;0;5;0;12;0;0;1;0;8;0;0;1;0;0;135;0;3;0;0;0;3;0;13
"";"HNO1.1.1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.2";50;0;0;28;2;11;3;33;0;1;0;14;0;0;0;0;23;0;32;0;0;27;0;0;224;3;1;0;3;0;7;0;18
"";"HNO1.2.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.3";34;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;35;0;1;0;0;0;1;0;25
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HNO1.3.2";3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"HNO2";19;1;22;10;0;1;0;30;1;6;0;8;0;0;0;0;1;0;0;0;0;0;0;0;99;0;3;0;0;0;3;0;10
"";"KIE1";16;1;0;1;0;0;0;2;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;24;0;0;0;0;0;0;0;2
"Neurochirurgie";"NCH1";55;0;0;22;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;4
"";"NCH1.1";2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"NCH1.1.1";15;0;1;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"NCH1.1.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"NCH1.1.3";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;
