"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"Basispaket";"BP";9787;10963;9271;3439;3726;334;4715;4688;4759;3218;4919;5655;380;4485;3545;654;2065;488;269;26;167;174;170;118;78015;1080;503;340;637;45;2605
"Dermatologie";"DER1";266;44;26;13;13;0;11;54;10;6;16;3;0;54;44;1;2;3;1;0;0;0;0;0;567;2;1;3;1;3;10
"";"DER1.1";358;25;5;8;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;398;6;1;1;1;0;9
"";"DER1.2";21;1;1;0;0;0;0;2;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;31;1;0;0;0;0;1
"";"DER2";53;17;12;11;7;1;8;7;9;7;7;14;1;8;7;2;2;1;0;0;0;0;0;5;179;3;2;0;5;1;11
"Hals-Nasen-Ohren";"HNO1";928;145;34;63;76;62;131;106;56;6;113;41;0;273;66;1;25;2;201;0;0;221;0;0;2550;19;14;5;42;0;80
"";"HNO1.1";669;93;8;47;19;8;6;36;30;0;13;39;0;146;15;0;2;0;105;0;0;12;0;0;1248;6;46;6;13;0;71
"";"HNO1.1.1";37;5;0;2;0;0;0;0;1;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;49;0;0;0;1;0;1
"";"HNO1.2";589;128;1;299;90;49;150;80;48;27;126;62;0;8;83;0;28;18;256;0;0;232;0;0;2274;12;5;39;91;3;150
"";"HNO1.2.1";13;0;0;45;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0
"";"HNO1.3";398;2;0;2;4;1;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;413;0;16;0;2;0;18
"";"HNO1.3.1";6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
"";"HNO1.3.2";61;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0
"";"HNO2";181;142;108;154;1;21;17;62;54;64;24;61;0;0;10;0;0;0;0;0;0;1;0;0;900;13;41;6;9;0;69
"";"KIE1";421;85;0;7;3;1;3;2;0;2;0;2;0;34;0;0;1;1;46;0;0;0;0;0;608;9;0;2;36;0;47
"Neurochirurgie";"NCH1";615;90;1;253;0;0;0;0;0;0;1;0;13;126;0;0;0;0;14;0;0;0;0;0;1113;8;6;0;9;0;23
"";"NCH1.1";81;3;0;43;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;128;0;1;0;0;0;1
"";"NCH1.1.1";220;5;2;66;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;294;0;0;0;0;0;0
"";"NCH1.1.1.1";41;0;0;21;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0
"";"NCH1.1.2";42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
"";"NCH1.1.3";15;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
"";"NCH2";2;1;1;3;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
"";"NCH2.1";4;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;1
"";"NCH3";21;12;0;7;0;2;1;1;0;0;0;0;4;1;0;2;0;0;0;0;0;0;0;0;51;2;3;1;4;0;10
"Neurologie";"NEU1";234;110;108;62;26;0;60;65;37;21;65;41;0;130;32;1;13;0;0;65;0;0;1;1;1072;5;1;1;2;0;9
"";"NEU2";59;19;22;20;3;0;11;8;6;3;12;11;0;2;11;0;2;2;0;0;0;0;0;0;191;3;0;0;0;0;3
"";"NEU2.1";81;19;10;21;5;0;5;2;9;0;6;5;1;78;4;0;14;6;0;0;0;0;5;0;271;1;0;0;0;0;1
"";"NEU3";825;467;380;288;91;0;136;189;109;76;147;129;0;57;118;0;43;2;0;0;0;0;5;0;3062;8;1;0;0;0;9
"";"NEU3.1";94;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0
"";"NEU4";14;0;0;34;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;285;0;0;0;0;390;0;0;0;0;0;0
"";"NEU4.1";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;102;0;0;0;0;0;0
"";"NEU4.2";68;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;418;0;0;0;0;487;0;0;0;0;0;0
"Ophthalmologie";"AUG1";216;89;23;0;0;0;4;0;0;0;2;0;0;2;0;0;0;1;5;0;0;0;0;0;342;20;1;1;7;0;29
"";"AUG1.1";72;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;14;0;0;5;0;0;97;0;0;0;0;0;0
"";"AUG1.2";46;7;2;5;0;1;0;2;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;74;3;0;1;15;9;28
"";"AUG1.3";164;121;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;436;83;0;0;25;0;108
"";"AUG1.4";110;461;198;127;0;0;0;0;0;4;0;0;0;3;0;0;0;0;9;0;0;1;0;0;913;49;0;0;100;0;149
