"Spitalname";"Akutsomatik";"Rehabilitation";"Psychiatrie";"Total"
"Universitätsspital Zürich";41916;0;60;41976
"Kantonsspital Winterthur";27451;0;21;27472
"Stadtspital Triemli";24335;0;0;24335
"Klinik Hirslanden";18292;0;0;18292
"See-Spital Standort Horgen";7266;0;0;7266
"See-Spital Standort Kilchberg";2730;0;0;2730
"Spital Uster";10428;0;0;10428
"Spital Limmattal";11164;0;0;11164
"Spital Bülach";10329;0;0;10329
"Spital Zollikerberg";10782;0;0;10782
"GZO AG Spital Wetzikon";10368;0;0;10368
"Stadtspital Waid";8347;0;0;8347
"Schulthess Klinik";7909;0;0;7909
"Kinderspital Zürich";8096;191;59;8346
"Spital Männedorf";7685;0;0;7685
"Universitätsklinik Balgrist";5072;417;0;5489
"Spital Affoltern";3476;0;248;3724
"Paracelsus-Spital Richterswil";2206;0;0;2206
"Limmatklinik";1584;0;0;1584
"Klinik Lengg";878;478;0;1356
"Uroviva Klinik für Urologie";1099;0;0;1099
"Adus Medica";1096;0;0;1096
"Klinik Susenberg";207;313;0;520
"Sune-Egge";128;0;0;128
"Spitäler mit Zürcher Leistungsauftrag";222844;1399;388;224631
"Geburtshaus Zürcher Oberland";856;0;0;856
"Geburtshaus Delphys";500;0;0;500
"Geburtshäuser mit Zürcher Leistungsauftrag";1356;0;0;1356
"Klinik Im Park";6767;0;0;6767
"Privatklinik Bethanien";3766;0;0;3766
"Klinik Lindberg";1392;0;0;1392
"Klinik Pyramide am See";1733;0;0;1733
"Klinik Tiefenbrunnen";61;0;0;61
"Spitäler ohne Zürcher Leistungsauftrag";13719;0;0;13719
"Total Kanton Zürich";237919;1399;388;239706
"Spitäler Schaffhausen";9407;619;663;10689
