"Spitalname";"2016";"2017";"2018";"Änd. Vorjahr"
"Universitätsspital Zürich";6.78255845401126;6.6809493050073;6.61480103063269;-0.0661482743746031
"Kantonsspital Winterthur";5.23433694930263;5.13544068426924;4.98072929947907;-0.154711384790173
"Stadtspital Triemli";5.56895778095044;5.29577056778679;5.08095335935895;-0.214817208427842
"Klinik Hirslanden";5.68301515857002;5.58522905964986;5.79007216269407;0.204843103044215
"See-Spital Standort Horgen";5.52370660543023;5.3775469436676;5.60514726121663;0.227600317549027
"See-Spital Standort Kilchberg";3.3837037037037;3.4364857302742;3.62271062271062;0.18622489243642
"Spital Uster";5.68239761323569;5.54246245132579;5.6969696969697;0.154507245643905
"Spital Limmattal";4.93413436239256;4.79287714385719;4.67305625223934;-0.119820891617852
"Spital Bülach";5.06011758012517;5.02294288480155;4.95527156549521;-0.0676713193063412
"Spital Zollikerberg";5.16842399925352;4.9514953271028;5.00936746429234;0.057872137189535
"GZO AG Spital Wetzikon";4.33162772736049;4.25905673274094;4.12027391975309;-0.138782812987857
"Stadtspital Waid";7.85753484798595;7.45956811394441;6.90188091529891;-0.557687198645496
"Schulthess Klinik";5.59370579915134;5.28734684260132;4.62030598052851;-0.667040862072808
"Kinderspital Zürich";5.52113389015439;5.4568345323741;5.63969861660079;0.182864084226689
"Spital Männedorf";5.45876221498371;5.40463108320251;5.37618737800911;-0.0284437051934034
"Universitätsklinik Balgrist";5.33754208754209;5.31885830784913;5.42527602523659;0.10641771738746
"Spital Affoltern";5.90834697217676;5.94444444444444;6.24683544303798;0.30239099859353
"Paracelsus-Spital Richterswil";4.17713310580205;4.22524565381708;4.57434270172257;0.349097047905492
"Limmatklinik";1.98338150289017;2.045;1.98295454545455;-0.0620454545454545
"Klinik Lengg";6.49892008639309;6.54441913439635;6.20728929384966;-0.337129840546696
"Uroviva Klinik für Urologie";2.87371375116932;2.94171523730225;3.04276615104641;0.101050913744158
"Adus Medica";1.19418306244654;1.15024630541872;1.64689781021898;0.496651504800259
"Klinik Susenberg";19.0159574468085;18.3971962616822;16.3961352657005;-2.00106099598176
"Sune-Egge";56.2462686567164;53.3257575757576;58.015625;4.68986742424242
"Spitäler mit Zürcher Leistungsauftrag";5.64831866375924;5.52271067297605;5.46869558973991;-0.0540150832361395
"Geburtshaus Zürcher Oberland";3.86979166666667;3.93783068783069;3.90070093457944;-0.0371297532512487
"Geburtshaus Delphys";3.17214700193424;3.25360824742268;3.206;-0.0476082474226804
"Geburtshäuser mit Zürcher Leistungsauftrag";3.58910505836576;3.67042707493956;3.64454277286136;-0.0258843020782078
"Klinik Im Park";4.42648648648649;4.3731832430892;4.57381409782769;0.200630854738494
"Privatklinik Bethanien";4.62725903614458;4.39861259338314;4.36537440254912;-0.0332381908340134
"Klinik Lindberg";4.06552494415488;4.25237746891002;4.1889367816092;-0.0634406873008269
"Klinik Pyramide am See";2.40051948051948;2.41861648016277;2.41546451240623;-0.00315196775653481
"Klinik Tiefenbrunnen";2.05882352941176;1.640625;1.78688524590164;0.146260245901639
"Eulachklinik";1.5;1.5;;
"Spitäler ohne Zürcher Leistungsauftrag";4.17055947854427;4.08422167313802;4.19250674247394;0.108285069335925
"Total Kanton Zürich";5.54768118272255;5.42874606838422;5.3847107629067;-0.0440353054775118
"Spitäler Schaffhausen";5.67977827523718;5.3945997661316;;-0.285178509105577
