"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Universitätsspital Zürich";287;394;64;1538;55;37;239;474;30;201;89;142;623;66;15;1185;491;1892;960;358;53;64;14;19;11;9301;31758;857;41916
"Kantonsspital Winterthur";33;25;3;47;5;2;8;27;6;16;8;9;920;10;3;240;50;108;994;37;9;8;1;3;0;2572;24692;187;27451
"Stadtspital Triemli";31;47;29;562;6;6;103;375;4;15;15;7;292;7;0;110;45;726;65;27;5;14;2;3;0;2496;21624;215;24335
"Klinik Hirslanden";102;173;12;561;15;19;73;262;9;74;20;62;224;52;16;624;304;898;244;266;23;49;4;11;1;4098;13636;558;18292
"See-Spital Standort Horgen";12;13;1;320;2;2;8;45;2;7;1;3;6;1;0;66;8;60;8;3;1;3;0;0;0;572;6631;63;7266
"See-Spital Standort Kilchberg";5;19;5;78;0;1;3;45;1;4;1;4;7;0;0;28;5;109;12;5;0;5;1;1;1;340;2385;5;2730
"Spital Uster";11;7;0;24;0;2;2;4;0;5;4;5;4;2;0;66;9;46;34;4;2;1;0;0;0;232;10143;53;10428
"Spital Limmattal";9;24;0;22;2;2;4;23;6;11;3;6;8;1;0;18;10;1417;13;3;5;2;0;3;1;1593;9511;60;11164
"Spital Bülach";14;10;2;2;0;2;2;6;0;4;3;2;95;1;0;9;17;134;32;4;5;7;4;2;0;357;9825;147;10329
"Spital Zollikerberg";13;14;0;46;1;1;9;16;1;3;4;3;14;4;1;90;20;117;30;17;4;0;1;2;0;411;10320;51;10782
"GZO AG Spital Wetzikon";4;9;1;36;0;0;9;6;1;13;9;2;8;2;1;273;8;22;32;9;1;3;0;1;0;450;9870;48;10368
"Stadtspital Waid";15;15;2;10;1;0;0;12;1;6;5;7;8;1;0;14;10;82;25;8;4;3;1;1;0;231;8063;53;8347
"Schulthess Klinik";87;131;51;268;16;15;73;141;14;73;15;40;96;7;4;238;141;849;234;244;39;62;1;12;1;2852;4810;247;7909
"Kinderspital Zürich";49;122;16;303;5;9;33;75;7;42;8;16;120;12;2;274;99;549;139;83;7;15;7;10;0;2002;5828;266;8096
"Spital Männedorf";9;12;0;72;0;1;13;11;0;3;3;0;7;3;1;1093;20;32;17;11;1;2;0;2;0;1313;6334;38;7685
"Universitätsklinik Balgrist";66;81;14;158;7;9;37;71;8;63;12;26;79;10;1;145;48;410;107;78;12;39;5;7;5;1498;3517;57;5072
"Spital Affoltern";3;15;1;17;3;0;1;180;0;1;0;0;1;0;0;6;1;178;3;1;1;1;0;0;0;413;3045;18;3476
"Paracelsus-Spital Richterswil";10;22;0;265;0;3;44;33;1;4;2;2;11;1;0;162;12;68;20;3;3;2;0;0;0;668;1521;17;2206
"Limmatklinik";12;20;1;44;4;0;8;17;0;17;3;5;7;1;0;39;22;133;27;11;4;4;0;1;0;380;1193;11;1584
"Klinik Lengg";21;48;10;33;13;1;9;23;0;19;22;19;24;5;0;55;30;81;34;8;1;6;0;0;1;463;400;15;878
"Uroviva Klinik für Urologie";3;3;0;9;1;0;1;2;0;2;0;0;20;0;0;1;3;25;3;3;0;2;1;0;0;79;1012;8;1099
"Adus Medica";7;2;2;6;0;0;2;17;1;3;0;1;7;0;0;15;2;97;14;2;0;0;0;0;0;178;914;4;1096
"Klinik Susenberg";0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;1;1;4;0;0;0;0;0;0;0;11;196;0;207
"Sune-Egge";0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;7;121;0;128
"Spitäler mit Zürcher Leistungsauftrag";803;1206;214;4425;136;112;682;1866;92;586;227;361;2583;186;44;4752;1356;8040;3048;1185;180;292;42;78;21;32517;187349;2978;222844
"Geburtshaus Zürcher Oberland";1;1;0;14;0;0;8;0;0;0;0;0;8;0;0;102;4;6;32;0;0;0;0;0;0;176;680;0;856
"Geburtshaus Delphys";0;0;0;2;0;0;2;3;0;0;0;0;2;0;0;2;0;8;2;0;0;0;0;0;0;21;479;0;500
"Geburtshäuser mit Zürcher Leistungsauftrag";1;1;0;16;0;0;10;3;0;0;0;0;10;0;0;104;4;14;34;0;0;0;0;0;0;197;1159;0;1356
"Klinik Im Park";36;78;22;656;8;15;55;163;2;25;5;11;43;9;3;121;203;348;54;39;5;4;0;10;0;1915;4734;118;6767
"Privatklinik Bethanien";18;24;5;114;0;3;6;39;3;10;3;4;22;0;1;56;18;152;39;27;4;0;1;0;0;549;3190;27;3766
"Klinik Lindberg";5;2;19;5;0;0;1;0;1;1;1;0;64;2;0;17;2;3;135;2;0;0;0;0;0;260;1120;12;1392
"Klinik Pyramide am See";21;42;1;101;3;9;9;41;2;14;5;5;12;3;0;53;13;71;17;24;3;3;2;4;2;460;1179;94;1733
"Klinik Tiefenbrunnen";1;3;0;4;0;0;0;7;0;0;0;0;1;0;0;2;1;4;3;1;0;0;0;0;0;27;33;1;61
"Spitäler ohne Zürcher Leistungsauftrag";81;149;47;880;11;27;71;250;8;50;14;20;142;14;4;249;237;578;248;93;12;7;3;14;2;3211;10256;252;13719
"Total Kanton Zürich";885;1356;261;5321;147;139;763;2119;100;636;241;381;2735;200;48;5105;1597;8632;3330;1278;192;299;45;92;23;35925;198764;3230;237919
"Spitäler Schaffhausen";13;5;2;5;0;1;1;2;2;4;3;3;7669;0;0;14;13;15;373;5;2;1;1;1;0;8135;869;403;9407
