"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";24305;13.1633819140928;72004;38.9967558667902;65834;35.6551361831879;14055;7.61206882545047;8443;4.57265721047871;184641
"Integrierte Psychiatrie Winterthur - ZU";11034;13.1452602485138;26334;31.3727826159473;28228;33.6291830972492;11004;13.1095200085777;7339;8.74325402971205;83939
"Clienia Privatklinik Schlössli";2841;3.55787654506518;26910;33.7002667468159;34428;43.1153022504414;10182;12.7512492016381;5490;6.87530525603937;79851
"Sanatorium Kilchberg";1273;2.058072234617;18422;29.7830374753452;28953;46.8086138325735;8339;13.4817473405115;4867;7.86852911695282;61854
"Psychiatriestützpunkt Spital Affoltern";18;0.219324966492019;4764;58.048007798221;2896;35.2869501644937;529;6.44571707079322;0;0;8207
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";39471;9.43172151438976;148434;35.4687783756918;160339;38.3135161484568;44109;10.5399864274586;26139;6.24599753400304;418492
"Modellstation SOMOSA";6156;100;0;0;0;0;0;0;0;0;6156
"Kispi Zürich - Psychosomatik und Psychiatrie";4697;100;0;0;0;0;0;0;0;0;4697
"KSW - Sozialpädiatrisches Zentrum";1956;100;0;0;0;0;0;0;0;0;1956
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";12809;100;0;0;0;0;0;0;0;0;12809
"Forel Klinik";15;0.0416759279839964;11279;31.3375194487664;23545;65.4173149588797;1153;3.20348966436986;0;0;35992
"Suchtbehandlung Frankental";0;0;2699;69.8860693940963;1163;30.1139306059037;0;0;0;0;3862
"USZ - Zentrum für Essstörungen";643;18.4187911773131;2787;79.8338584932684;61;1.7473503294185;0;0;0;0;3491
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";658;1.51805283192986;16765;38.6780482177875;24769;57.1438458876456;1153;2.66005306263698;0;0;43345
"Privatklinik Hohenegg";114;0.475832707237666;3445;14.379330495033;15992;66.7501460889891;3860;16.1115285082227;547;2.28316220051757;23958
"Total Kanton Zürich";53052;10.6401071792444;168644;33.823234470642;201100;40.3326086433322;49122;9.85190652301225;26686;5.35214318376908;498604
"Clienia Privatklinik Littenheid";22643;28.2278875522035;25628;31.9491366951318;27245;33.9649691454217;3808;4.74724178769557;891;1.11076481954747;80215
"Spitäler Schaffhausen";374;1.91912972085386;6793;34.8573481116585;8942;45.8846469622332;2157;11.0683497536946;1222;6.27052545155993;19488
"Klinik Meissenberg";2558;10.1487800039675;9358;37.1275540567348;10989;43.5984923626265;1893;7.51041460027772;407;1.61475897639357;25205
"Klinik Sonnenhof";11344;100;0;0;0;0;0;0;0;0;11344
