"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Psychiatrische Universitätsklinik Zürich";199.018;677.012;265.51;160.03;183.022;53.95;1538.542
"Integrierte Psychiatrie Winterthur - ZU";84.088;252.112;115.221;65.61;58.176;11.318;586.525
"Clienia Privatklinik Schlössli";76.144;198.949;87.426;42.43;75.746;12.446;493.141
"Sanatorium Kilchberg";48.796;112.246;53.865;38.96;58.12;4.58;316.567
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";408.046;1240.319;522.022;307.03;375.064;82.294;2934.775
"Modellstation SOMOSA";0.99;5.06;22.596;3.51;1.8;0.6;34.556
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.99;5.06;22.596;3.51;1.8;0.6;34.556
"Forel Klinik";12.93;17.19;34.328;14.77;26.72;1.85;107.788
"Suchtbehandlung Frankental";1.55;10.069;0.91;3.35;0.906;0.3;17.085
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";14.48;27.259;35.238;18.12;27.626;2.15;124.873
"Privatklinik Hohenegg";16.33;38.15;11.99;19.54;41.6;3.13;130.74
"Total Kanton Zürich";439.846;1310.788;591.846;348.2;446.09;88.174;3224.944
