"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4314;4429;4604;3.95123052607813
"Integrierte Psychiatrie Winterthur - ZU";2850;3034;3057;0.758075148319048
"Clienia Privatklinik Schlössli";2135;2432;2464;1.3157894736842
"Sanatorium Kilchberg";1775;1837;2051;11.6494284158955
"Psychiatriestützpunkt Spital Affoltern";175;169;169;0
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";11249;11901;12345;3.73077892614067
"Kinder- und Jugendpsychiatrischer Dienst";169;;;
"Modellstation SOMOSA";23;7;7;0
"Kispi Zürich - Psychosomatik und Psychiatrie";42;44;45;2.27272727272727
"KSW - Sozialpädiatrisches Zentrum";23;17;14;-17.6470588235294
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";257;68;66;-2.94117647058824
"Forel Klinik";335;388;360;-7.21649484536082
"Suchtbehandlung Frankental";127;151;159;5.29801324503312
"USZ - Zentrum für Essstörungen";20;25;26;4
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";482;564;545;-3.36879432624113
"Privatklinik Hohenegg";252;298;270;-9.39597315436241
"Zürcher PatientInnen im Kanton Zürich";12240;12831;13226;3.07848180188606
"Clienia Privatklinik Littenheid";220;273;;24.0909090909091
"Spitäler Schaffhausen";50;94;;88
"Klinik Meissenberg";91;95;;4.3956043956044
"Klinik Sonnenhof";24;24;;0
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";902;1044;;15.7427937915743
"Total Zürcher PatientInnen";13527;14361;13226;
