"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";3048;919;450;374;18;9;4818
"Integrierte Psychiatrie Winterthur - ZU";303;2500;182;64;103;29;3181
"Clienia Privatklinik Schlössli";421;239;1694;95;139;10;2598
"Sanatorium Kilchberg";839;223;150;838;180;25;2255
"Psychiatriestützpunkt Spital Affoltern";34;24;8;103;32;1;202
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4645;3905;2484;1474;472;74;13054
"Modellstation SOMOSA";6;6;2;3;19;0;36
"Kispi Zürich - Psychosomatik und Psychiatrie";17;10;5;13;11;0;56
"KSW - Sozialpädiatrisches Zentrum";1;10;3;0;6;0;20
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";24;26;10;16;36;0;112
"Forel Klinik";120;138;58;42;186;5;549
"Suchtbehandlung Frankental";84;42;10;20;7;4;167
"USZ - Zentrum für Essstörungen";6;8;6;6;26;0;52
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";210;188;74;68;219;9;768
"Privatklinik Hohenegg";105;62;63;40;215;15;500
"Total Kanton Zürich";4984;4181;2631;1598;942;98;14434
"Clienia Privatklinik Littenheid";56;129;62;26;1622;33;1928
"Spitäler Schaffhausen";35;48;7;4;545;10;649
"Klinik Meissenberg";43;18;9;25;390;8;493
"Klinik Sonnenhof";5;8;8;3;147;0;171
