"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Psychiatrische Universitätsklinik Zürich";21.5315979403524;69.0865280879974;0;9.38187397165029
"Integrierte Psychiatrie Winterthur - ZU";25.6135009892406;72.5848683954526;0.147134719290247;1.65449589601663
"Clienia Privatklinik Schlössli";23.7770129371334;75.3656302015088;0;0.85735686135774
"Sanatorium Kilchberg";13.5683840517955;83.9716035320185;0.0191025400127897;2.44090987617317
"Psychiatriestützpunkt Spital Affoltern";9.842656256864;90.157343743136;0;0
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";21.624003593153;72.9418818043389;0.031775528762055;5.40233907374595
"Modellstation SOMOSA";1.14807730733383;30.5497084107487;68.3022142819175;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";1.14807730733383;30.5497084107487;68.3022142819175;0
"Forel Klinik";16.6934467633179;81.0474426287865;0;2.2591106078956
"Suchtbehandlung Frankental";4.20460766342795;95.795392336572;0;0
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";15.1436164307455;82.8776223290422;0;1.97876124021229
"Privatklinik Hohenegg";9.81525406527405;90.184745934726;0;0
"Total Kanton Zürich";20.9059860760404;73.1823546139348;0.813375251515789;5.09828405850898
"Clienia Privatklinik Littenheid";0;96.8395962950961;0;3.16040370490388
"Klinik Meissenberg";0.998146190594191;97.9913112486394;0;1.01054256076637
"Klinik Sonnenhof";0.281209639480046;86.0385027167668;0;13.6802876437532
