"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";169973;184819;184641;-0.0963104442725071
"Integrierte Psychiatrie Winterthur - ZU";81155;81107;83939;3.49168382507059
"Clienia Privatklinik Schlössli";78057;78560;79851;1.6433299389002
"Sanatorium Kilchberg";59303;59840;61854;3.36564171122995
"Psychiatriestützpunkt Spital Affoltern";7531;7998;8207;2.61315328832208
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";396019;412324;418492;1.49591098262531
"Kinder- und Jugendpsychiatrischer Dienst";13460;;;
"Modellstation SOMOSA";5445;6128;6156;0.45691906005223
"Kispi Zürich - Psychosomatik und Psychiatrie";4671;4694;4697;0.0639113762249677
"KSW - Sozialpädiatrisches Zentrum";1684;1559;1956;25.4650416933932
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";25260;12381;12809;3.45690978111624
"Forel Klinik";34359;34293;35992;4.95436386434549
"Suchtbehandlung Frankental";3587;3852;3862;0.259605399792306
"USZ - Zentrum für Essstörungen";4054;3687;3491;-5.31597504746406
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";42000;41832;43345;3.61684834576401
"Privatklinik Hohenegg";23487;24220;23958;-1.08175061932287
"Total Kanton Zürich";486766;490757;498604;1.59895834394619
"Clienia Privatklinik Littenheid";75299;80215;;6.52863915855457
"Spitäler Schaffhausen";18381;19488;;6.02252325771178
"Klinik Meissenberg";26699;25205;;-5.59571519532567
"Klinik Sonnenhof";10886;11344;;4.2072386551534
