"Leistungsgruppe";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Pflegetage"
"F0 organische Störungen";836;75.299043062201;17.4641148325359;33.9485645933014;26442
"F10 Alkohol";1937;46.5580795043882;0.877645844088797;32.0252968508002;55495
"F11-F19 Drogen";991;37.5035317860747;1.2108980827447;29.1513622603431;26058
"F2 Schizophrenie";2323;42.727507533362;4.47696943607404;35.7046922083513;70322
"F3 affektive Störungen";4633;46.5862292251241;17.8717893373624;36.5195337794086;156571
"F4 neurotische Störungen";2104;38.7690114068441;10.2186311787072;25.9681558935361;50307
"F5 Verhaltensauffälligkeiten";160;28.8;16.875;57.0125;8885
"F6 Persönlichkeitsstörungen";980;33.5459183673469;3.57142857142857;32.1520408163265;27176
"F7 Intelligenzstörungen";62;35.0483870967742;1.61290322580645;25.1935483870968;1470
"F8 Entwicklungsstörungen";45;24.7333333333333;6.66666666666667;50.6222222222222;1929
"F9 Störungen mit Beginn in Kindheit";241;22.6721991701245;5.80912863070539;47.8879668049792;10024
"Forensik";44;39.6363636363636;0;458.636363636364;3826
"Andere";5;46.6;0;24.6;15495
"Total";14361;44.2287445163986;9.76255135436251;34.9830791727596;454000
