"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";107962;34094;20208;14668;7425;284;184641
"Integrierte Psychiatrie Winterthur - ZU";7300;65796;4948;1658;3661;576;83939
"Clienia Privatklinik Schlössli";13297;8582;49879;2870;4943;280;79851
"Sanatorium Kilchberg";22673;6686;4032;20684;7374;405;61854
"Psychiatriestützpunkt Spital Affoltern";1654;815;426;3941;1368;3;8207
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";152886;115973;79493;43821;24771;1548;418492
"Modellstation SOMOSA";1347;1429;236;413;2731;0;6156
"Kispi Zürich - Psychosomatik und Psychiatrie";1240;878;403;924;1252;0;4697
"KSW - Sozialpädiatrisches Zentrum";199;1131;174;0;452;0;1956
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";2786;3438;813;1337;4435;0;12809
"Forel Klinik";7195;9154;3968;2890;12580;205;35992
"Suchtbehandlung Frankental";2027;874;246;491;121;103;3862
"USZ - Zentrum für Essstörungen";599;456;692;428;1316;0;3491
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";9821;10484;4906;3809;14017;308;43345
"Privatklinik Hohenegg";4921;3095;2943;1690;10558;751;23958
"Total Kanton Zürich";170414;132990;88155;50657;53781;2607;498604
"Clienia Privatklinik Littenheid";2695;6041;3328;1344;65350;1457;80215
"Spitäler Schaffhausen";500;1364;140;174;16826;484;19488
"Klinik Meissenberg";1748;580;723;1227;20576;351;25205
"Klinik Sonnenhof";526;578;569;143;9528;0;11344
