"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";13;8;3;7;0;2;4;7;1;7;3;2;26;3;0;18;12;30;20;3;1;1;0;1;0;172;4604;42;4818
"Integrierte Psychiatrie Winterthur - ZU";14;8;1;1;2;0;3;4;0;3;2;2;25;0;1;2;4;21;9;1;1;0;0;0;1;105;3057;19;3181
"Clienia Privatklinik Schlössli";2;5;0;9;3;0;2;8;0;7;2;2;8;0;0;35;4;21;12;3;0;0;0;0;0;123;2464;11;2598
"Sanatorium Kilchberg";5;19;0;30;2;3;1;7;0;4;4;9;1;1;1;15;6;61;5;2;2;0;0;1;0;179;2051;25;2255
"Psychiatriestützpunkt Spital Affoltern";3;4;1;1;0;0;0;3;0;2;1;0;0;0;0;0;0;17;0;0;0;0;0;0;0;32;169;1;202
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";37;44;5;48;7;5;10;29;1;23;12;15;60;4;2;70;26;150;46;9;4;1;0;2;1;611;12345;98;13054
"Modellstation SOMOSA";2;3;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;13;7;16;36
"Kispi Zürich - Psychosomatik und Psychiatrie";0;2;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;11;45;0;56
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;6;14;0;20
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";2;5;0;5;0;0;0;2;0;0;0;1;5;0;0;1;0;6;3;0;0;0;0;0;0;30;66;16;112
"Forel Klinik";1;6;2;2;1;0;3;4;0;4;3;12;24;3;0;20;4;42;53;0;0;1;0;0;0;185;360;4;549
"Suchtbehandlung Frankental";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;7;159;1;167
"USZ - Zentrum für Essstörungen";1;2;0;3;1;0;2;1;0;1;0;1;0;0;1;9;2;2;0;0;0;0;0;0;0;26;26;0;52
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";2;8;2;6;2;0;5;5;0;6;3;13;24;3;1;33;6;45;53;0;0;1;0;0;0;218;545;5;768
"Privatklinik Hohenegg";12;31;1;14;3;4;3;13;0;8;4;7;6;4;1;29;15;36;13;3;2;5;0;1;0;215;270;15;500
"Total Kanton Zürich";53;88;8;73;12;9;18;49;1;37;19;36;95;11;4;133;47;237;115;12;6;7;0;3;1;1074;13226;134;14434
"Clienia Privatklinik Littenheid";19;86;21;224;5;2;9;93;1;13;9;11;41;51;1;194;11;71;752;1;0;5;1;0;0;1621;273;34;1928
"Spitäler Schaffhausen";0;1;0;0;0;0;0;0;0;3;0;0;527;1;0;2;1;0;10;0;0;0;0;0;0;545;94;10;649
"Klinik Meissenberg";24;86;9;22;5;8;0;66;2;15;4;5;3;1;0;3;3;121;8;0;0;2;0;1;2;390;95;8;493
"Klinik Sonnenhof";0;0;1;3;0;0;0;0;0;0;0;0;5;15;0;119;2;1;1;0;0;0;0;0;0;147;24;0;171
