"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";497;544;582.213698630137;7.02457695406928
"Integrierte Psychiatrie Winterthur - ZU";222;224;226;0.89285714285714
"Clienia Privatklinik Schlössli";215;217.010928961749;219;0.916576435927774
"Sanatorium Kilchberg";174;173.524590163934;184;6.03684459140292
"Psychiatriestützpunkt Spital Affoltern";20.7095890410959;22;23;4.54545454545454
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";1128.7095890411;1180.53551912568;1234.21369863014;4.5469347287584
"Kinder- und Jugendpsychiatrischer Dienst";38;;;
"Modellstation SOMOSA";17;16.9535519125683;17;0.273972602739736
"Kispi Zürich - Psychosomatik und Psychiatrie";13;13;13;0
"KSW - Sozialpädiatrisches Zentrum";6;6;6;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";74;35.9535519125683;36;0.129189148111575
"Forel Klinik";101;101;101;0
"Suchtbehandlung Frankental";12;11.9672131147541;12;0.273972602739714
"USZ - Zentrum für Essstörungen";12;11.9672131147541;12;0.273972602739714
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";125;124.934426229508;125;0.0524865503214844
"Privatklinik Hohenegg";70;70;70;0
"Total Kanton Zürich";1397.7095890411;1411.42349726776;1465.21369863014;3.81106035619394
"Clienia Privatklinik Littenheid";212;225;;6.13207547169812
"Spitäler Schaffhausen";62;62;;0
"Klinik Meissenberg";74;74;;0
"Klinik Sonnenhof";38;38;;0
