"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Universitätsspital Zürich";1323.544;2195.065;1109.596;1189.236;713.358;198.954;6729.753
"Kantonsspital Winterthur";467.664;1123.825;326.627;424.512;204.562;48.146;2595.336
"Stadtspital Triemli";408.23;799.641;288.558;383.41;326.554;21.66;2228.053
"Klinik Hirslanden";90.19;560.116;183.954;191.912;205.534;20.25;1251.956
"See-Spital";89.268;240.503;89.356;95.62;100.224;13.58;628.551
"Spital Uster";137.038;398.457;77.85;120.98;96.508;13.856;844.689
"Spital Limmattal";159.322;335.209;117.029;143.286;132.872;11.67;899.388
"Spital Bülach";134.07;359.798;106.625;121.684;87.198;11.36;820.735
"Spital Zollikerberg";125.182;309.634;97.156;143.734;64.616;16.098;756.42
"GZO AG Spital Wetzikon";109.23;289.648;75.78;121.91;75.77;15.68;688.018
"Stadtspital Waid";137.978;370.778;106.848;106.222;100.766;12.85;835.442
"Schulthess Klinik";126.488;239.638;143.106;220.782;97.06;11.9;838.974
"Kinderspital Zürich";315.918;636.012;335.785;251.67;98.812;24.856;1663.053
"Spital Männedorf";88.074;283.241;76.697;114.538;88.622;11.29;662.462
"Universitätsklinik Balgrist";128.334;249.619;160.701;179.358;112.778;12.89;843.68
"Spital Affoltern";44.346;145.618;47.637;54.052;61.578;7.048;360.279
"Paracelsus-Spital Richterswil";26.52;45.87;30.112;31.332;17.472;3.49;154.796
"Limmatklinik";0;12.49;8.4;8.74;3.17;0;32.8
"Klinik Lengg";23.01;75.28;92.418;23.48;0;0;214.188
"Uroviva Klinik für Urologie";0.8;18.58;4.73;13.77;12.25;1;51.13
"Adus Medica";1.04;11.22;4.74;6.32;0.8;0;24.12
"Klinik Susenberg";6.56;40.182;10.46;7.052;14.89;2;81.144
"Sune-Egge";6.49;21.65;9.6;5.9;9.47;1.03;54.14
"Spitäler mit Zürcher Leistungsauftrag";3949.296;8762.074;3503.765;3959.5;2624.864;459.608;23259.107
"Geburtshaus Zürcher Oberland";0;0;17.842;2.26;4.872;0;24.974
"Geburtshaus Delphys";0;0;5.09;1.21;2.76;0;9.06
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;22.932;3.47;7.632;0;34.034
"Klinik Im Park";28.222;191.234;75.26;74.57;91.338;9;469.624
"Privatklinik Bethanien";0;73.059;39.658;26.228;45.626;6.048;190.619
"Klinik Lindberg";0;44.06;14.93;15.59;31.24;3.246;109.066
"Klinik Pyramide am See";1.55;22.66;7.37;21.99;22.99;3.86;80.42
"Klinik Tiefenbrunnen";0;1.11;2.24;1.04;0.62;0;5.01
"Eulachklinik";0;1.36;1.37;1.73;0;0;4.46
"Spitäler ohne Zürcher Leistungsauftrag";29.772;333.483;140.828;141.148;191.814;22.154;859.199
"Total Kanton Zürich";3979.068;9095.557;3667.525;4104.118;2824.31;481.762;24152.34
"Spitäler Schaffhausen";144.174;389.451;162.835;139.1;65.824;21.73;923.114
