"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Universitätsspital Zürich";279179;278539;281404;1.0285812758716
"Kantonsspital Winterthur";137650;136378;135099;-0.937834548094263
"Stadtspital Triemli";127682;123324;123641;0.257046479193024
"Klinik Hirslanden";105061;104283;101925;-2.26115474238371
"See-Spital Standort Horgen";40593;40677;38321;-5.79197089264203
"See-Spital Standort Kilchberg";12257;9890;8749;-11.5369059656218
"Spital Uster";59913;59465;57271;-3.68956529050702
"Spital Limmattal";54518;52433;54804;4.52196136021208
"Spital Bülach";51756;51238;52323;2.11756899176392
"Spital Zollikerberg";52942;53632;53616;-0.0298329355608584
"GZO AG Spital Wetzikon";44066;42555;42089;-1.09505346022793
"Stadtspital Waid";64516;57488;56811;-1.17763707208461
"Schulthess Klinik";44833;36382;32579;-10.452971249519
"Kinderspital Zürich";46084;45026;46425;3.10709367920756
"Spital Männedorf";41165;41559;42206;1.55682283019323
"Universitätsklinik Balgrist";26300;27316;27480;0.600380729242933
"Spital Affoltern";21638;21652;20095;-7.19102161463144
"Paracelsus-Spital Richterswil";11197;10093;8011;-20.6281581293966
"Limmatklinik";2863;3141;3107;-1.08245781598217
"Klinik Lengg";5750;5403;5135;-4.96020729224504
"Uroviva Klinik für Urologie";3550;3321;3859;16.1999397771756
"Adus Medica";1401;1805;1697;-5.98337950138504
"Klinik Susenberg";3767;3375;3590;6.37037037037036
"Sune-Egge";7747;6947;5491;-20.9586872031093
"Spitäler mit Zürcher Leistungsauftrag";1246428;1215922;1205728;-0.838376145838304
"Geburtshaus Zürcher Oberland";2974;3337;3261;-2.27749475576865
"Geburtshaus Delphys";1574;1605;1675;4.3613707165109
"Geburtshäuser mit Zürcher Leistungsauftrag";4548;4942;4936;-0.121408336705786
"Klinik Im Park";30379;30582;27317;-10.6762147668563
"Privatklinik Bethanien";16503;16560;19049;15.030193236715
"Klinik Lindberg";5865;5774;6117;5.94042258399723
"Klinik Pyramide am See";4755;4186;3823;-8.67176301958911
"Klinik Tiefenbrunnen";105;109;145;33.0275229357798
"Eulachklinik";3;;;
"Spitäler ohne Zürcher Leistungsauftrag";57610;57211;56451;-1.32841586408208
"Total Kanton Zürich";1308586;1278075;1267115;-0.85753965925317
"Spitäler Schaffhausen";50591;50458;;-0.26289260935739
