"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Universitätsspital Zürich";6502.596;6588.019;6729.753;2.15139027376818
"Kantonsspital Winterthur";2542.251;2597.266;2595.336;-0.0743089079054626
"Stadtspital Triemli";2194.164;2165.169;2228.053;2.90434603488228
"Klinik Hirslanden";1394.76;1263.273;1251.956;-0.895847532560268
"See-Spital";663.005;651.038;628.551;-3.45402265305558
"Spital Uster";831.781;842.079;844.689;0.309947166477254
"Spital Limmattal";912.231;931.409;899.388;-3.43790966159871
"Spital Bülach";766.927;842.759;820.735;-2.61332124605017
"Spital Zollikerberg";732.508;746.119;756.42;1.3806108677034
"GZO AG Spital Wetzikon";699.15;708.172;688.018;-2.84591878809103
"Stadtspital Waid";936.846;906.793;835.442;-7.86849920544159
"Schulthess Klinik";843.611;923.93;838.974;-9.19506889050036
"Kinderspital Zürich";1580.459;1605.88;1663.053;3.56022865967569
"Spital Männedorf";654.49;642.295;662.462;3.13983449972366
"Universitätsklinik Balgrist";818.117;852.271;843.68;-1.00801270957243
"Spital Affoltern";352.892;363.373;360.279;-0.851466674739176
"Paracelsus-Spital Richterswil";172.382;183.1;154.796;-15.4582195521573
"Limmatklinik";42.826;36.866;32.8;-11.0291325340422
"Klinik Lengg";226.381;218.5;214.188;-1.97345537757437
"Uroviva Klinik für Urologie";49.55;52.72;51.13;-3.01593323216994
"Adus Medica";18.9;27.95;24.12;-13.7030411449016
"Klinik Susenberg";80.336;81.378;81.144;-0.287547002875466
"Sune-Egge";51.04;52.42;54.14;3.28119038534911
"Spitäler mit Zürcher Leistungsauftrag";23067.203;23282.779;23259.107;-0.101671711954998
"Geburtshaus Zürcher Oberland";19.67;24.046;24.974;3.85926973301174
"Geburtshaus Delphys";6.07;6.98;9.06;29.7994269340974
"Geburtshäuser mit Zürcher Leistungsauftrag";25.74;31.026;34.034;9.69509443692387
"Klinik Im Park";506.908;480.717;469.624;-2.30759469708789
"Privatklinik Bethanien";187.322;177.609;190.619;7.32507924711021
"Klinik Lindberg";112.01;108.296;109.066;0.711014257220954
"Klinik Pyramide am See";88.67;82.54;80.42;-2.56845165980132
"Klinik Tiefenbrunnen";5.81;6.63;5.01;-24.4343891402715
"Eulachklinik";4.19;;;
"Spitäler ohne Zürcher Leistungsauftrag";904.91;855.792;854.739;-0.123043917213528
"Total Kanton Zürich";23997.853;24169.597;24147.88;-0.0898525531890404
"Spitäler Schaffhausen";902.078;923.114;;2.3319491219163
