"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";7893;10070;8570;2831;3493;294;4597;4065;4497;3080;4701;5481;238;3722;2968;487;1793;350;214;22;157;124;161;112;69920;852;441;283;435;25;2036;377;4660
"Dermatologie";"DER1";197;39;24;7;13;0;11;42;10;6;15;3;0;32;36;1;2;2;1;0;0;0;0;0;441;2;0;3;0;1;6;1;13
"";"DER1.1";211;24;5;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;248;3;0;1;1;0;5;0;4
"";"DER1.2";11;0;1;0;0;0;0;2;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;19;1;0;0;0;0;1;0;1
"";"DER2";43;15;11;10;7;1;8;6;8;7;7;14;1;3;6;1;2;1;0;0;0;0;0;5;156;1;2;0;3;0;6;1;9
"Hals-Nasen-Ohren";"HNO1";785;133;32;48;67;59;130;74;51;6;109;39;0;216;52;1;23;1;186;0;0;216;0;0;2228;16;11;4;32;0;63;11;171
"";"HNO1.1";528;59;6;37;19;7;6;15;30;0;13;33;0;79;11;0;1;0;43;0;0;12;0;0;899;3;30;5;9;0;47;0;51
"";"HNO1.1.1";29;3;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;36;0;0;0;0;0;0;0;1
"";"HNO1.2";463;114;1;192;75;45;146;23;46;24;119;58;0;5;61;0;25;2;208;0;0;212;0;0;1819;9;4;35;77;0;125;0;220
"";"HNO1.2.1";8;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;
"";"HNO1.3";302;2;0;0;3;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;310;0;13;0;2;0;15;0;42
"";"HNO1.3.1";3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3
"";"HNO1.3.2";25;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;3
"";"HNO2";137;137;89;95;1;19;16;49;49;55;24;59;0;0;8;0;0;0;0;0;0;0;0;0;738;8;36;6;8;0;58;0;29
"";"KIE1";295;51;0;6;3;1;3;1;0;2;0;2;0;19;0;0;1;1;22;0;0;0;0;0;407;7;0;0;15;0;22;0;14
"Neurochirurgie";"NCH1";437;65;1;165;0;0;0;0;0;0;1;0;8;71;0;0;0;0;4;0;0;0;0;0;752;6;5;0;3;0;14;0;32
"";"NCH1.1";60;3;0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;3
"";"NCH1.1.1";142;5;2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;0;0;0;0;0;0;0;6
"";"NCH1.1.1.1";22;0;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;1
"";"NCH1.1.2";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;4
"";"NCH1.1.3";6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1
"";"NCH2";1;1;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"NCH2.1";3;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3
"";"NCH3";15;7;0;4;0;1;1;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;33;2;2;1;3;0;8;0;6
"Neurologie";"NEU1";186;94;102;55;25;0;55;54;30;18;61;39;0;82;23;1;12;0;0;28;0;0;1;1;867;2;1;1;1;0;5;2;56
"";"NEU2";43;17;19;18;3;0;11;8;6;2;11;11;0;2;7;0;2;1;0;0;0;0;0;0;161;2;0;0;0;0;2;1;7
"";"NEU2.1";63;16;9;16;5;0;5;2;8;0;6;5;1;54;3;0;9;6;0;0;0;0;5;0;213;0;0;0;0;0;0;0;7
"";"NEU3";637;414;342;256;85;0;136;171;96;72;138;125;0;8;97;0;36;2;0;0;0;0;5;0;2620;5;1;0;0;0;6;20;88
"";"NEU3.1";68;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;2
"";"NEU4";9;0;0;25;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;154;0;0;0;0;216;0;0;0;0;0;0;0;5
"";"NEU4.1";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;58;0;0;0;0;0;0;0;
"";"NEU4.2";50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;204;0;0;0;0;0;0;0;2
"Ophthalmologie";"AUG1";161;65;17;0;0;0;4;0;0;0;2;0;0;1;0;0;0;1;2;0;0;0;0;0;253;18;0;1;5;0;24;0;20
"";"AUG1.1";51;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;1;0;0;64;0;0;0;0;0;0;0;1
"";"AUG1.2";34;7;1;5;0;1;0;2;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;56;2;0;1;4;7;14;0;17
"";"AUG1.3";136;81;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;332;75;0;0;16;0;91;0;77
"";"AUG1.4";99;409;168;112;0;0;0;0;0;4;0;0;0;0;0;0;0;0;7;0;0;1;0;0;800;40;0;0;91;0;131;0;4
"";"AUG1.5";647;43;236;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;174;0;0;0;0;0;1101;48;0;0;0;0;48;0;77
"Endokrinologie";"END1";85;59;45;34;31;0;61;41;46;31;44;53;0;42;15;5;16;0;0;0;2;0;3;0;613;8;2;1;3;0;14;4;20
"Gastroenterologie";"GAE1";622;674;581;320;239;0;525;319;309;192;252;445;0;79;262;0;130;50;0;0;0;0;0;0;4999;101;17;3;0;0;121;33;164
"";"GAE1.1";132;136;109;91;26;0;50;76;64;37;96;90;0;1;36;0;8;2;0;0;0;0;0;0;954;32;11;3;0;0;46;5;25
"Viszeralchirugie";"VIS1";369;279;248;271;30;3;40;95;77;32;69;69;0;38;96;0;4;0;0;0;0;0;0;0;1720;70;30;7;19;0;126;28;79
"";"VIS1.1";31;32;41;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;2;1;0;0;0;3;0;3
"";"VIS1.2";26;42;21;22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;7;5;0;0;0;12;0;4
"";"VIS1.3";12;13;12;24;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;
"";"VIS1.4";105;0;19;30;0;0;0;130;0;0;91;7;0;0;88;0;0;0;0;0;0;0;0;0;470;0;1;1;1;0;3;15;137
"";"VIS1.4.1";19;0;3;89;1;0;0;94;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;216;0;1;0;0;0;1;1;40
"";"VIS1.5";22;26;18;29;0;0;6;11;7;0;0;3;0;0;7;0;0;0;0;0;0;0;0;0;129;1;6;0;0;0;7;0;4
"Haematologie";"HAE1";144;23;21;23;1;0;11;14;12;5;12;12;0;102;8;0;4;4;0;0;0;0;0;0;396;5;0;2;0;0;7;0;7
"";"HAE1.1";98;2;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;3
"";"HAE2";377;220;128;132;25;1;62;42;40;30;63;66;0;16;39;1;29;26;0;0;0;0;6;0;1303;25;3;2;0;0;30;10;39
"";"HAE3";33;28;20;19;9;0;32;11;12;10;15;14;0;1;9;0;6;4;0;0;0;0;3;0;226;10;2;1;0;0;13;2;5
"";"HAE4";47;0;9;37;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;1
"";"HAE5";30;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;3
"Gefässe";"GEF1";71;141;51;57;4;1;2;23;2;2;3;9;1;2;1;0;0;0;0;0;0;0;0;0;370;48;8;0;0;0;56;1;43
"";"ANG1";378;239;99;137;21;0;2;36;17;13;0;51;0;1;15;3;2;0;0;0;0;0;0;0;1014;111;13;0;0;0;124;5;21
"";"GEFA";245;163;100;160;0;0;1;7;0;1;0;16;0;13;1;0;0;0;0;0;0;0;0;0;707;53;2;0;0;0;55;1;23
"";"GEF3";61;46;33;41;0;0;0;9;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;194;8;0;0;0;0;8;1;5
"";"ANG3";53;19;12;13;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;1;0;0;0;0;1;0;2
"";"RAD1";82;25;29;102;4;0;3;8;2;6;2;5;0;2;9;0;0;0;0;0;0;0;0;0;279;9;2;0;5;0;16;0;8
"Herz";"HER1";14;5;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1;0;0;0;0;1;0;2
"";"HER1.1";33;2;14;8;0;0;0;0;0;0;0;1;0;40;0;0;0;0;0;0;0;0;0;0;98;0;0;0;3;0;3;0;5
"";"HER1.1.1";216;0;103;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;426;16;0;0;0;0;16;0;4
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;3
"";"HER1.1.3";48;0;10;15;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;4
"";"HER1.1.4";63;0;71;72;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;207;11;0;0;0;0;11;0;6
"";"HER1.1.5";55;0;48;64;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;170;11;0;0;0;0;11;0;5
"";"KAR1";103;85;119;114;6;0;32;32;26;23;29;72;0;3;5;0;0;1;0;0;0;0;0;0;650;70;0;0;0;0;70;1;13
"";"KAR1.1";1667;709;1339;1037;6;0;54;12;4;9;77;6;0;14;13;0;2;3;0;0;0;0;0;0;4952;291;0;0;0;0;291;0;122
