"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";952;446;111;433;9;12;3996;28;89;763;566;184;21;523;114;56;6;7;32;3;3;1;21;8;8384;50;65;6;56;5;182;2;378
"Dermatologie";"DER1";20;1;0;1;0;0;8;2;0;4;5;0;0;3;6;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;1
"";"DER1.1";36;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"DER2";5;0;0;1;0;0;8;0;0;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;21;0;2;0;1;0;3;0;3
"Hals-Nasen-Ohren";"HNO1";89;4;0;5;1;0;90;0;2;2;15;3;0;26;6;0;0;0;11;0;0;18;0;0;272;0;3;0;5;0;8;0;8
"";"HNO1.1";76;5;0;3;0;0;5;1;0;0;5;1;0;14;3;0;0;0;6;0;0;0;0;0;119;0;7;0;1;0;8;0;2
"";"HNO1.1.1";6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"HNO1.2";53;4;0;16;2;0;104;0;2;0;7;2;0;0;7;0;0;1;15;0;0;14;0;0;227;1;0;0;5;0;6;0;5
"";"HNO1.2.1";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
