"Spitalname";"Austritte";"Anteil am Total Kt. ZH";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %"
"Universitätsspital Zürich";43018;0.178732279669608;51.9411409177554;20.2891812729555;44.0025105769678
"Kantonsspital Winterthur";27914;0.115977796612986;51.2270903489289;21.3763702801462;50.3403310166941
"Stadtspital Triemli";24717;0.102694819763674;51.8590039244245;18.4083828943642;54.1246915078691
"Klinik Hirslanden";18799;0.0781065629622243;58.9975530613331;61.700090430342;22.8310016490239
"See-Spital Standort Horgen";7225;0.0300186136178558;52.0067820069204;24.8304498269896;57.4671280276817
"See-Spital Standort Kilchberg";2577;0.0107069850924864;56.0186263096624;26.3096623981374;0.426852929763291
"Spital Uster";10318;0.042869488624088;54.2964721845319;19.9651095173483;63.1905408024811
"Spital Limmattal";11427;0.0474771900084758;51.8471164785158;18.1937516408506;47.4402730375427
"Spital Bülach";10542;0.0438001695168769;49.4577878960349;16.505406943654;63.3086700815784
"Spital Zollikerberg";10731;0.0445854315201675;44.6686236138291;25.9714844842046;48.7279843444227
"GZO AG Spital Wetzikon";10427;0.0433223645942397;53.1279370864103;15.3927304114319;56.6893641507624
"Stadtspital Waid";8680;0.0360638845955693;67.8941244239631;21.094470046083;67.6152073732719
"Schulthess Klinik";7798;0.0323993285802131;55.6582457040267;48.8715055142344;2.09027955886125
"Kinderspital Zürich";8313;0.0345390636685446;4.80404186214363;23.0001202935162;54.9260194875496
"Spital Männedorf";8090;0.03361253760117;55.4818294190358;27.3053152039555;49.1718170580964
"Universitätsklinik Balgrist";5277;0.0219250137109239;53.5633882888005;31.3814667424673;12.6966079211673
"Spital Affoltern";3379;0.0140391550747038;56.5969221663214;19.2068659366677;58.5676235572655
"Paracelsus-Spital Richterswil";1868;0.00776121387379302;38.5385438972163;15.9528907922912;42.5053533190578
"Limmatklinik";1540;0.00639843113792358;40.2967532467532;16.8181818181818;0.324675324675325
"Klinik Lengg";897;0.00372687839656978;35.644370122631;13.9353400222965;6.13154960981048
"Uroviva Klinik für Urologie";1333;0.00553838227717671;62.2655663915979;28.7321830457614;0
"Adus Medica";810;0.00336540858553124;47.3148148148148;11.8518518518519;0.246913580246914
"Klinik Susenberg";217;0.000901597114889232;79.4700460829493;69.1244239631336;0
"Sune-Egge";125;0.000519353176779512;45.808;0;1.6
"Spitäler mit Zürcher Leistungsauftrag";226022;0.93908194977647;51.2298581554008;25.2037412287299;45.4168178318925
"Geburtshaus Zürcher Oberland";828;0.00344019544298749;16.8176328502415;1.32850241545894;45.6521739130435
"Geburtshaus Delphys";524;0.00217712851705971;17.6946564885496;0;48.8549618320611
"Geburtshäuser mit Zürcher Leistungsauftrag";1352;0.0056173239600472;17.1575443786982;0.813609467455621;46.8934911242604
"Klinik Im Park";6058;0.0251699323594423;58.446517002311;86.1175305381314;15.7642786398151
"Privatklinik Bethanien";4192;0.0174170281364777;51.4706583969466;86.712786259542;11.0448473282443
"Klinik Lindberg";1399;0.0058126007545163;61.5468191565404;91.9942816297355;14.867762687634
"Klinik Pyramide am See";1573;0.00653554037659338;56.1595677050222;99.3006993006993;2.0979020979021
"Klinik Tiefenbrunnen";88;0.000365624636452776;48.125;100;0
"Spitäler ohne Zürcher Leistungsauftrag";13310;0.0553007262634824;56.2368144252442;88.572501878287;12.4643125469572
"Total Kanton Zürich";240684;1;51.3153512489405;28.5710724435359;43.6028153097007
"Spitäler Schaffhausen";9205;;53.233134166214;17.8489951113525;57.5122216186855
