"SPLG";"MFZ";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag"
"DER1.1";"10";329;11;9;5;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;358;7;1;0;1;9
"HNO2";"10";177;160;129;185;0;20;22;44;74;71;24;17;0;0;12;0;0;0;0;0;0;935;1;32;1;18;52
"NCH1.1";"10";81;4;4;40;0;0;0;1;0;0;0;0;0;26;0;0;0;0;0;0;0;156;0;0;1;0;1
"NCH1.1.1";"10";374;4;0;147;1;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;532;0;0;0;0;0
"NCH1.1.1.1";"10";46;0;0;25;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;98;0;0;0;0;0
"NEU4";"10";33;0;1;117;0;0;0;0;0;0;0;0;0;55;0;0;0;0;464;0;0;670;0;0;0;0;0
"NEU4.1";"10";52;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;67;0;0;121;0;0;0;0;0
"VIS1.1";"10";49;43;51;42;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;189;3;0;0;0;3
"VIS1.2";"10";68;51;30;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;3;0;0;0;3
"VIS1.3";"10";42;21;22;24;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;119;0;0;0;0;0
"VIS1.4";"25";119;0;40;114;0;0;0;172;0;0;107;1;0;0;108;0;0;0;0;0;0;661;0;0;2;0;2
"VIS1.4.1";"50*";30;0;1;59;0;0;0;79;0;0;17;1;0;0;0;0;0;0;0;0;0;187;0;1;1;2;4
"VIS1.5";"10";30;39;24;34;0;0;10;11;0;0;0;7;0;1;6;0;0;0;0;0;0;162;0;1;0;0;1
"HAE1.1";"10";186;5;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;214;0;0;0;0;0
"HAE4";"10";103;0;11;29;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;153;0;1;0;0;1
"GEF1";"10";140;164;89;114;0;0;1;12;0;0;1;0;1;2;0;3;0;0;0;0;0;527;29;19;0;1;49
"GEFA";"20";138;91;65;65;0;0;0;0;0;0;0;1;0;30;0;0;0;0;0;0;0;390;16;2;0;0;18
"GEF3";"10";79;31;36;66;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;223;6;2;0;0;8
"ANG3";"10";79;24;11;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;2;0;0;0;2
"HER1.1.1";"100";376;0;259;293;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;934;44;0;0;0;44
"HER1.1.2";"10";0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;65;0;0;0;0;0
"KAR1.1.1";"10";690;13;217;299;0;0;0;1;1;0;0;2;0;86;0;0;0;0;0;0;0;1309;133;0;0;0;133
"URO1.1.1";"10";89;100;70;240;0;14;31;23;0;0;0;0;0;0;67;0;0;0;0;76;0;710;3;18;0;0;21
"URO1.1.2";"10";35;24;18;30;0;0;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0;125;6;4;0;1;11
"URO1.1.3";"10";43;30;29;42;0;0;14;9;1;0;0;0;0;8;19;0;0;0;0;0;0;195;1;4;0;0;5
"PNE1.3";"10";300;15;3;2;0;0;2;0;1;0;0;0;0;25;0;0;0;0;0;0;0;348;0;0;0;0;0
"THO1.1";"30";160;72;51;60;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;344;3;6;1;0;10
"BEW7.1";"50";55;481;120;263;10;233;127;131;194;100;156;100;1005;0;108;366;48;0;0;0;25;3522;82;228;48;12;370
"BEW7.2";"50";0;305;73;275;6;279;104;169;157;102;170;53;823;0;73;271;40;0;0;0;50;2950;95;217;146;26;484
"BEW8.1";"10";80;42;33;123;12;1;0;0;0;121;0;0;204;18;5;145;3;0;0;0;0;787;74;22;14;5;115
"BEW9";"10";9;0;0;1;0;0;0;0;0;0;0;0;1;1;0;13;0;0;0;0;0;25;1;0;0;0;1
"GYNT";"20";92;39;54;46;1;0;1;29;19;24;26;0;0;0;0;0;1;1;0;0;0;333;12;5;1;3;21
"GYN2";"100";191;200;129;418;1;59;0;62;80;62;83;0;0;0;51;0;1;23;0;0;0;1360;98;88;9;74;269
