"Spitalname";"2017";"2018";"2019";"Änd. Vorjahr"
"Universitätsspital Zürich";6.6809493050073;6.61480103063269;6.5652750011623;-0.0495260294703899
"Kantonsspital Winterthur";5.13544068426924;4.98072929947907;4.8450598266103;-0.135669472868769
"Stadtspital Triemli";5.29577056778679;5.08095335935895;5.00283205890682;-0.0781213004521231
"Klinik Hirslanden";5.58522905964986;5.79007216269407;5.4227352518751;-0.367336910818974
"See-Spital Standort Horgen";5.3775469436676;5.60514726121663;5.32304498269896;-0.282102278517664
"See-Spital Standort Kilchberg";3.4364857302742;3.62271062271062;3.39503298409003;-0.227677638620595
"Spital Uster";5.54246245132579;5.6969696969697;5.57578988176003;-0.121179815209667
"Spital Limmattal";4.79287714385719;4.67305625223934;4.80729850354424;0.134242251304897
"Spital Bülach";5.02294288480155;4.95527156549521;4.97600075886928;0.020729193374077
"Spital Zollikerberg";4.9514953271028;5.00936746429234;4.96999347684279;-0.0393739874495473
"GZO AG Spital Wetzikon";4.25905673274094;4.12027391975309;4.03337489210703;-0.0868990276460559
"Stadtspital Waid";7.45956811394441;6.90188091529891;6.50034562211982;-0.401535293179094
"Schulthess Klinik";5.28734684260132;4.62030598052851;4.16927417286484;-0.451031807663675
"Kinderspital Zürich";5.4568345323741;5.63969861660079;5.5158185973776;-0.123880019223189
"Spital Männedorf";5.40463108320251;5.37618737800911;5.22805933250927;-0.148128045499837
"Universitätsklinik Balgrist";5.31885830784913;5.42527602523659;5.20636725412166;-0.218908771114934
"Spital Affoltern";5.94444444444444;6.24683544303798;5.94288250961823;-0.303952933419745
"Paracelsus-Spital Richterswil";4.22524565381708;4.57434270172257;4.28319057815846;-0.291152123564117
"Limmatklinik";2.045;1.98295454545455;2.01753246753247;0.0345779220779221
"Klinik Lengg";6.54441913439635;6.20728929384966;5.67892976588629;-0.528359527963371
"Uroviva Klinik für Urologie";2.94171523730225;3.04276615104641;2.89122280570143;-0.15154334534498
"Adus Medica";1.15024630541872;1.64689781021898;2.09506172839506;0.448163918176084
"Klinik Susenberg";18.3971962616822;16.3961352657005;16.5483870967742;0.152251831073709
"Sune-Egge";53.3257575757576;58.015625;42.752;-15.263625
"Spitäler mit Zürcher Leistungsauftrag";5.52271067297605;5.46869558973991;5.33625487784375;-0.132440711896158
"Geburtshaus Zürcher Oberland";3.93783068783069;3.90070093457944;3.91545893719807;0.0147580026186285
"Geburtshaus Delphys";3.25360824742268;3.206;3.18702290076336;-0.0189770992366411
"Geburtshäuser mit Zürcher Leistungsauftrag";3.67042707493956;3.64454277286136;3.63313609467456;-0.011406678186801
"Klinik Im Park";4.3731832430892;4.57381409782769;4.48118190822053;-0.0926321896071585
"Privatklinik Bethanien";4.39861259338314;4.36537440254912;4.51550572519084;0.150131322641716
"Klinik Lindberg";4.25237746891002;4.1889367816092;4.36240171551108;0.173464933901884
"Klinik Pyramide am See";2.41861648016277;2.41546451240623;2.43038779402416;0.0149232816179254
"Klinik Tiefenbrunnen";1.640625;1.78688524590164;1.64772727272727;-0.139157973174367
"Eulachklinik";1.5;;;
"Spitäler ohne Zürcher Leistungsauftrag";4.08422167313802;4.19250674247394;4.21840721262209;0.025900470148148
"Total Kanton Zürich";5.42874606838422;5.3847107629067;5.26487012015755;-0.119840642749153
"Spitäler Schaffhausen";5.3945997661316;5.45779467680608;;0.06319491067448
