"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Ausserkantonal/Ausland";"Total"
"Universitätsspital Zürich";15427;1714;3584;2956;1459;1470;4417;1566;10425;43018
"Kantonsspital Winterthur";281;20170;2152;114;31;63;1080;735;3288;27914
"Stadtspital Triemli";15167;228;886;3416;1231;143;474;191;2981;24717
"Klinik Hirslanden";5622;675;1199;1138;647;2009;2048;659;4802;18799
"See-Spital Standort Horgen";1507;30;62;125;4659;43;60;31;708;7225
"See-Spital Standort Kilchberg";1135;36;96;200;578;38;117;33;344;2577
"Spital Uster";184;671;278;51;12;114;7962;784;262;10318
"Spital Limmattal";736;56;250;8470;49;13;91;22;1740;11427
"Spital Bülach";238;256;8786;477;8;7;208;18;544;10542
"Spital Zollikerberg";4953;241;493;311;121;1194;2488;407;523;10731
"GZO AG Spital Wetzikon";120;339;71;27;19;159;1385;7817;490;10427
"Stadtspital Waid";6605;85;553;694;46;34;300;26;337;8680
"Schulthess Klinik";1511;326;575;551;256;424;712;331;3112;7798
"Kinderspital Zürich";2340;379;873;613;307;410;794;346;2251;8313
"Spital Männedorf";341;52;102;49;72;4782;326;809;1557;8090
"Universitätsklinik Balgrist";1351;195;393;440;160;212;533;309;1684;5277
"Spital Affoltern";238;2;13;2608;21;1;6;6;484;3379
"Paracelsus-Spital Richterswil";394;52;31;90;583;39;44;42;593;1868
"Limmatklinik";429;224;185;139;36;41;136;33;317;1540
"Klinik Lengg";147;55;48;38;15;22;53;36;483;897
"Uroviva Klinik für Urologie";182;23;841;91;12;8;64;9;103;1333
"Adus Medica";165;41;298;111;10;2;40;5;138;810
"Klinik Susenberg";129;3;14;3;7;23;25;1;12;217
"Sune-Egge";80;9;2;8;2;1;12;2;9;125
"Spitäler mit Zürcher Leistungsauftrag";59282;25862;21785;22720;10341;11252;23375;14218;37187;226022
"Geburtshaus Zürcher Oberland";37;213;14;9;8;65;112;192;178;828
"Geburtshaus Delphys";409;25;19;24;6;7;12;0;22;524
"Geburtshäuser mit Zürcher Leistungsauftrag";446;238;33;33;14;72;124;192;200;1352
"Klinik Im Park";2210;108;249;410;857;184;232;55;1753;6058
"Privatklinik Bethanien";1541;174;477;294;151;232;528;94;701;4192
"Klinik Lindberg";17;984;65;6;4;6;48;12;257;1399
"Klinik Pyramide am See";412;61;107;90;70;187;108;43;495;1573
"Klinik Tiefenbrunnen";16;7;4;0;1;10;4;12;34;88
"Spitäler ohne Zürcher Leistungsauftrag";4196;1334;902;800;1083;619;920;216;3240;13310
"Total Kanton Zürich";63924;27434;22720;23553;11438;11943;24419;14626;40627;240684
"Spitäler Schaffhausen";38;779;60;8;4;3;7;7;8299;9205
