"Spitalname";"Akutsomatik";"Rehabilitation";"Psychiatrie";"Total"
"Universitätsspital Zürich";43018;0;55;43073
"Kantonsspital Winterthur";27914;0;30;27944
"Stadtspital Triemli";24717;0;0;24717
"Klinik Hirslanden";18799;0;0;18799
"See-Spital Standort Horgen";7225;0;0;7225
"See-Spital Standort Kilchberg";2577;0;0;2577
"Spital Uster";10318;0;0;10318
"Spital Limmattal";11427;0;0;11427
"Spital Bülach";10542;0;0;10542
"Spital Zollikerberg";10731;0;0;10731
"GZO AG Spital Wetzikon";10427;0;0;10427
"Stadtspital Waid";8680;0;0;8680
"Schulthess Klinik";7798;0;0;7798
"Kinderspital Zürich";8313;194;56;8563
"Spital Männedorf";8090;0;0;8090
"Universitätsklinik Balgrist";5277;378;0;5655
"Spital Affoltern";3379;0;318;3697
"Paracelsus-Spital Richterswil";1868;0;0;1868
"Limmatklinik";1540;0;0;1540
"Klinik Lengg";897;505;0;1402
"Uroviva Klinik für Urologie";1333;0;0;1333
"Adus Medica";810;0;0;810
"Klinik Susenberg";217;264;0;481
"Sune-Egge";125;0;0;125
"Spitäler mit Zürcher Leistungsauftrag";226022;1341;459;227822
"Geburtshaus Zürcher Oberland";828;0;0;828
"Geburtshaus Delphys";524;0;0;524
"Geburtshäuser mit Zürcher Leistungsauftrag";1352;0;0;1352
"Klinik Im Park";6058;0;0;6058
"Privatklinik Bethanien";4192;0;0;4192
"Klinik Lindberg";1399;0;0;1399
"Klinik Pyramide am See";1573;0;0;1573
"Klinik Tiefenbrunnen";88;0;0;88
"Spitäler ohne Zürcher Leistungsauftrag";13310;0;0;13310
"Total Kanton Zürich";240684;1341;459;242484
"Spitäler Schaffhausen";9205;622;784;10611
