"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Universitätsspital Zürich";953.884931506849;941.309589041096;952.613698630137;1.20089179167466
"Kantonsspital Winterthur";444.698630136986;444.698630136986;442.698630136986;-0.449742784092655
"Stadtspital Triemli";390;396.408219178082;396;-0.102979493949096
"Klinik Hirslanden";331.249315068493;335;328.035616438356;-2.07892046616234
"See-Spital";213.090410958904;212.178082191781;207.216438356164;-2.3384337271612
"Spital Uster";208;208;209;0.480769230769229
"Spital Limmattal";188.586301369863;180.950684931507;177.024657534247;-2.16966705527881
"Spital Bülach";162.013698630137;162.013698630137;161;-0.625686987401708
"Spital Zollikerberg";174;174;163;-6.32183908045977
"GZO AG Spital Wetzikon";160;156;149;-4.48717948717948
"Stadtspital Waid";255;212.501369863014;192.980821917808;-9.18608099222568
"Schulthess Klinik";166.479452054795;136.558904109589;125.38904109589;-8.17952010272048
"Kinderspital Zürich";167.128767123288;170;159;-6.47058823529412
"Spital Männedorf";125.419178082192;129.306849315068;127;-1.78401169565862
"Universitätsklinik Balgrist";84;84;85;1.19047619047619
"Spital Affoltern";80;73;72;-1.36986301369864
"Paracelsus-Spital Richterswil";30.241095890411;31;21.6356164383562;-30.2076889085285
"Limmatklinik";8.59178082191781;9.60547945205479;9.47945205479452;-1.31203650884197
"Klinik Lengg";20;20;19;-5
"Uroviva Klinik für Urologie";14.7671232876712;13.0876712328767;13.0876712328767;0
"Adus Medica";12.986301369863;14.7945205479452;8.71232876712329;-41.1111111111111
"Klinik Susenberg";14;13;13;0
"Sune-Egge";25;25;25;0
"Spitäler mit Zürcher Leistungsauftrag";4229.13698630137;4142.41369863014;4056.87397260274;-2.06497303868237
"Geburtshaus Zürcher Oberland";7.34246575342466;7.34246575342466;7.34246575342466;0
"Geburtshaus Delphys";4;4;4;0
"Geburtshäuser mit Zürcher Leistungsauftrag";11.3424657534247;11.3424657534247;11.3424657534247;0
"Klinik Im Park";128;133;117.756164383562;-11.4615305386755
"Privatklinik Bethanien";96;96;96;0
"Klinik Lindberg";68;68;68;0
"Klinik Pyramide am See";20.4821917808219;20.4821917808219;20.4821917808219;0
"Klinik Tiefenbrunnen";0.884931506849315;0.8;1.12876712328767;41.0958904109589
"Eulachklinik";1.98082191780822;;;
"Spitäler ohne Zürcher Leistungsauftrag";315.347945205479;318.282191780822;303.367123287671;-4.68611467380544
"Total Kanton Zürich";4555.82739726027;4472.03835616438;4371.58356164384;-2.24628651456174
"Spitäler Schaffhausen";158.106849315069;157.52602739726;;-0.367360377064252
