"Leistungsbereich";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %";"MAHD Tage"
"Basispaket";77124;56.6693636222188;27.1368186297391;75.6768321145169;4.96254084331726
"Bewegungsapparat chirurgisch";28472;56.9357965720708;40.7558302894071;12.8441978083731;5.68572632762012
"Dermatologie";911;56.0680570801317;31.1745334796926;35.7848518111965;7.69264544456641
"Endokrinologie";651;63.815668202765;24.1167434715822;77.1121351766513;9.38402457757296
"Gastroenterologie";6347;67.150307231763;28.6749645501812;72.9320939026312;7.64818024263432
"Geburtshilfe";18899;32.3474257897243;21.3926662786391;61.5111910683105;4.25435208212075
"Gefässe";3034;69.8375082399473;36.2887277521424;31.0481212920237;7.57020435069216
"Gynäkologie";7083;49.7580121417478;33.3050967104334;12.0146830439079;3.10518142030213
"Haematologie";2285;63.9934354485777;32.0787746170678;50.0218818380744;8.69540481400438
"Hals-Nasen-Ohren";7380;41.7378048780488;23.9837398373984;11.869918699187;3.08929539295393
"Herz";9216;67.3985460069444;34.8198784722222;33.9518229166667;5.75401475694444
"Nephrologie";797;68.8946047678795;21.831869510665;74.5294855708908;11.5708908406524
"Neugeborene";17078;0;4.05199672092751;2.13725260569153;4.22771987352149
"Neurochirurgie";1204;55.5980066445183;29.9003322259136;29.9003322259136;9.921926910299
"Neurologie";4639;64.1263203276568;26.4927786160811;79.5214485880578;6.13020047424014
"Ophthalmologie";3110;68.0485530546624;39.0032154340836;14.4694533762058;2.0524115755627
"Pneumologie";3589;64.2198383950961;23.2655335748119;73.920312064642;9.47952075787127
"(Radio-)Onkologie";1870;62.8229946524064;30.3743315508021;30.2139037433155;8.20267379679144
"Rheumatologie";1097;57.4129443938013;27.7119416590702;55.4238833181404;6.61896080218779
"Schwere Verletzungen";538;57.6412639405204;26.0223048327138;81.5985130111524;11.8624535315985
"Thoraxchirurgie";421;62.8289786223278;31.353919239905;5.22565320665083;9.37767220902613
"Transplantationen";77;48.974025974026;0;64.9350649350649;19
"Urologie";11344;61.7895803949224;32.1138928067701;20.3014809590973;4.24911847672779
"Viszeralchirugie";3316;56.4800965018094;27.6537997587455;21.6525934861279;10.6034378769602
"Total";210482;51.0869860605657;27.6584220978516;46.9688619454395;5.26080614969451
