"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Universitätsspital Zürich";9064;69.4395410414828;26.9527802294793;19.4395410414828
"Kantonsspital Winterthur";3897;76.2894534257121;13.4975622273544;16.3972286374134
"Stadtspital Triemli";3370;74.7181008902077;17.299703264095;22.1364985163205
"Klinik Hirslanden";1957;73.6842105263158;23.7097598364844;14.665304036791
"See-Spital";944;77.8601694915254;19.1737288135593;16.7372881355932
"Spital Uster";1166;77.958833619211;11.9210977701544;16.7238421955403
"Spital Limmattal";1323;75.8881330309902;15.9486016628874;16.7800453514739
"Spital Bülach";1170;78.3760683760684;16.1538461538462;15.3846153846154
"Spital Zollikerberg";1235;80.8097165991903;7.85425101214575;15.2226720647773
"GZO AG Spital Wetzikon";874;79.2906178489702;12.7002288329519;14.5308924485126
"Stadtspital Waid";1055;74.8815165876777;25.8767772511848;15.9241706161137
"Schulthess Klinik";1083;70.0831024930748;18.65189289012;9.69529085872576
"Kinderspital Zürich";2565;83.5477582846004;14.5808966861598;14.8927875243665
"Spital Männedorf";966;77.8467908902691;9.00621118012422;14.5962732919255
"Universitätsklinik Balgrist";1207;70.3396851698426;19.6354598177299;13.5874067937034
"Spital Affoltern";543;78.4530386740332;14.7329650092081;13.0755064456722
"Limmatklinik";47;85.1063829787234;25.531914893617;6.38297872340426
"Klinik Lengg";308;79.5454545454545;26.2987012987013;14.9350649350649
"Uroviva Klinik für Urologie";87;71.264367816092;11.4942528735632;1.14942528735632
"Adus Medica";42;83.3333333333333;30.952380952381;2.38095238095238
"Klinik Susenberg";107;76.6355140186916;25.2336448598131;12.1495327102804
"Sune-Egge";59;55.9322033898305;32.2033898305085;3.38983050847458
"Spitäler mit Zürcher Leistungsauftrag";33069;74.6892860382836;19.2294898545466;16.9373128912274
"Geburtshaus Zürcher Oberland";41;97.5609756097561;9.75609756097561;2.4390243902439
"Geburtshaus Delphys";24;95.8333333333333;12.5;0
"Geburtshäuser mit Zürcher Leistungsauftrag";65;96.9230769230769;10.7692307692308;1.53846153846154
"Klinik Im Park";614;69.8697068403909;33.5504885993485;7.49185667752443
"Privatklinik Bethanien";266;74.4360902255639;26.3157894736842;8.64661654135338
"Klinik Lindberg";138;79.7101449275362;21.7391304347826;8.69565217391304
"Klinik Pyramide am See";132;65.1515151515152;26.5151515151515;3.78787878787879
"Klinik Tiefenbrunnen";22;95.4545454545455;18.1818181818182;0
"Spitäler ohne Zürcher Leistungsauftrag";1172;72.0136518771331;29.4368600682594;7.33788395904437
"Total Kanton Zürich";34306;74.6400046639072;19.5621757127033;16.5801900542179
"Spitäler Schaffhausen";1394;77.7618364418938;23.2424677187948;17.1449067431851
