"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Universitätsspital Zürich";1390.544;2262.28;1142.352;1314.716;684.336;207.82;7002.048
"Kantonsspital Winterthur";494.15;1169.569;369.126;462.618;224.548;51.122;2771.133
"Stadtspital Triemli";437.066;874.044;325.86;493.666;333.04;28.18;2491.856
"Klinik Hirslanden";99;665.623;187.24;213.19;202.784;22.832;1390.669
"See-Spital";91.602;231.146;93.157;97.318;102.372;13;628.595
"Spital Uster";154.452;371.667;77.393;130.886;99.664;14.62;848.682
"Spital Limmattal";178.768;308.72;144.694;152.002;157.642;14.51;956.336
"Spital Bülach";136.558;340.536;124.719;124.97;83.472;11.538;821.793
"Spital Zollikerberg";140.83;319.48;93.962;166.192;72.348;12.986;805.798
"GZO AG Spital Wetzikon";108.856;256.599;71.55;130.622;71.928;13.27;652.825
"Stadtspital Waid";139.416;350.268;106.059;90.086;99.382;13.21;798.421
"Schulthess Klinik";123.828;191.698;146.392;233.28;93.98;11.7;800.878
"Kinderspital Zürich";328.198;675.678;346.585;277.474;100.318;24.43;1752.683
"Spital Männedorf";96.488;292.57;80.509;117.848;92.946;10.29;690.651
"Universitätsklinik Balgrist";139.522;259.263;164.376;203.092;114.08;12.98;893.313
"Spital Affoltern";46.776;123.456;38.928;56.246;63.316;6.736;335.458
"Limmatklinik";0;19.747;6.747;2.5;2.5;1.24;32.734
"Klinik Lengg";27.44;59.695;95.336;28.53;0;0;211.001
"Uroviva Klinik für Urologie";1.1;22.71;6.32;16.76;14.56;2.5;63.95
"Adus Medica";3.74;13.037;4.22;5.69;0;0;26.687
"Klinik Susenberg";6.318;37.96;9.938;6.41;14.91;1.82;77.356
"Sune-Egge";5.1;14.936;5.92;3.52;9.72;2.84;42.036
"Spitäler mit Zürcher Leistungsauftrag";4149.752;8860.682;3641.383;4327.616;2637.846;477.624;24094.903
"Geburtshaus Zürcher Oberland";0;0;16.47;2.492;5.51;0;24.472
"Geburtshaus Delphys";0;0;6.05;1.52;2.83;0;10.4
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;22.52;4.012;8.34;0;34.872
"Klinik Im Park";30.77;196.543;73.35;71.02;88.006;9.53;469.219
"Privatklinik Bethanien";0;91.866;39.652;26.65;34.44;3.812;196.42
"Klinik Lindberg";0;44.465;13.08;13.94;23.372;3.4;98.257
"Klinik Pyramide am See";1.82;22.788;6.68;21.77;24.72;4.2;81.978
"Klinik Tiefenbrunnen";0;1.26;2.13;1.62;0.62;0;5.63
"Spitäler ohne Zürcher Leistungsauftrag";32.59;356.922;134.892;135;171.158;20.942;851.504
"Total Kanton Zürich";4182.342;9217.604;3798.795;4466.628;2817.344;498.566;24981.279
"Spitäler Schaffhausen";149.38;442.714;172.944;139.118;64.574;19.594;988.324
