"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";262;236;39;114;10;6;243;9;4;69;3695;12;19;200;323;39;1;12;0;0;2;1;2;3;5301;7;12;1;8;4;32;7;365
"Dermatologie";"DER1";4;0;0;0;0;0;1;0;0;0;6;0;0;1;1;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1
"";"DER1.1";14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;
"";"DER1.2";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"DER2";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";21;2;0;3;1;0;6;0;0;0;52;1;0;10;4;0;0;0;0;0;0;0;0;0;100;1;1;0;0;0;2;0;12
"";"HNO1.1";22;5;0;4;0;0;1;0;0;0;9;1;0;5;0;0;0;0;3;0;0;0;0;0;50;0;3;0;2;0;5;0;5
"";"HNO1.1.1";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"HNO1.2";11;0;0;5;0;0;10;0;0;0;72;0;0;1;6;0;0;0;6;0;0;1;0;0;112;0;1;0;3;0;4;0;20
"";"HNO1.2.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.3";17;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"HNO1.3.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"HNO2";6;7;3;8;0;0;1;0;0;2;24;0;0;0;3;0;0;0;0;0;0;0;0;0;54;1;1;0;1;0;3;0;3
"";"KIE1";12;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;21;0;0;0;0;0;0;0;2
"Neurochirurgie";"NCH1";42;7;0;5;0;0;0;0;0;0;1;0;1;6;0;0;0;0;3;0;0;0;0;0;65;0;0;0;0;0;0;0;5
"";"NCH1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH1.1.1";8;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1
"";"NCH1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"NCH1.1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;2
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
