"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Total"
"Universitätsspital Zürich";13823;1541;3184;2681;1255;1351;3822;1465;29122
"Kantonsspital Winterthur";249;19515;2041;98;24;65;1026;749;23767
"Stadtspital Triemli";14315;242;997;3589;1162;138;519;162;21124
"Klinik Hirslanden";5512;628;1136;1062;622;1993;2131;680;13764
"See-Spital Standort Horgen";1344;30;46;147;4122;27;51;25;5792
"See-Spital Standort Kilchberg";973;25;116;156;567;27;88;28;1980
"Spital Uster";199;558;241;43;11;80;7528;737;9397
"Spital Limmattal";770;43;250;8410;50;15;87;13;9638
"Spital Bülach";231;249;8374;505;5;7;246;6;9623
"Spital Zollikerberg";4944;303;538;300;95;1117;2613;390;10300
"GZO AG Spital Wetzikon";115;349;47;26;10;153;1286;7438;9424
"Stadtspital Waid";6195;79;561;594;50;21;306;28;7834
"Schulthess Klinik";1449;341;560;553;253;400;637;417;4610
"Kinderspital Zürich";2021;378;660;626;245;348;713;380;5371
"Spital Männedorf";375;61;97;76;63;4446;300;806;6224
"Universitätsklinik Balgrist";1265;211;446;442;171;221;572;289;3617
"Spital Affoltern";215;4;20;1956;51;3;6;4;2259
"Paracelsus-Spital Richterswil";314;49;31;73;496;21;50;33;1067
"Limmatklinik";473;203;153;152;34;24;133;39;1211
"Klinik Lengg";142;66;46;45;16;28;44;26;413
"Uroviva Klinik für Urologie";155;26;829;112;28;24;86;7;1267
"Adus Medica";115;12;246;113;9;3;32;6;536
"Klinik Susenberg";111;0;15;5;4;19;12;2;168
"Sune-Egge";81;6;9;16;5;0;7;4;128
"Spitäler mit Zürcher Leistungsauftrag";55386;24919;20643;21780;9348;10531;22295;13734;178636
"Geburtshaus Zürcher Oberland";52;244;28;5;8;32;109;187;665
"Geburtshaus Delphys";415;20;26;29;10;6;11;0;517
"Geburtshäuser mit Zürcher Leistungsauftrag";467;264;54;34;18;38;120;187;1182
"Klinik Im Park";2243;131;247;439;829;156;290;41;4376
"Privatklinik Bethanien";1482;151;478;297;150;235;556;88;3437
"Klinik Lindberg";18;864;70;2;3;4;36;8;1005
"Klinik Pyramide am See";385;50;84;85;58;153;119;40;974
"Klinik Tiefenbrunnen";20;2;3;4;2;8;6;4;49
"Spitäler ohne Zürcher Leistungsauftrag";4148;1198;882;827;1042;556;1007;181;9841
"Total Kanton Zürich";60001;26381;21579;22641;10408;11125;23422;14102;189659
"Spitäler Schaffhausen";23;788;68;4;5;4;15;11;918
"Ausserkantonale Nicht-Listenspitäler";2243;2371;867;2613;745;488;775;797;10899
"Total Zürcher PatientInnen";62267;29540;22514;25258;11158;11617;24212;14910;201476
