"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";303;11;351;108;2376;88;6;8;1;9;5;29;16;126;23;22;36;176;1;1;4;1;4;4;3709;160;23;0;14;1;198;2;263
"Dermatologie";"DER1";5;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;1
"";"DER1.1";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;1;0;
"";"DER1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"DER2";2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";35;0;0;1;27;9;0;0;0;0;0;0;0;12;0;0;0;0;2;0;0;0;0;0;86;3;2;0;0;0;5;0;4
"";"HNO1.1";19;1;0;3;7;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;40;2;3;0;1;0;6;0;6
"";"HNO1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.2";17;0;0;13;52;16;1;0;0;0;0;1;0;0;1;0;0;1;4;0;0;0;0;0;106;1;0;0;7;0;8;0;7
"";"HNO1.2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HNO1.3";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;1;0;0;0;1;0;3
