"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";7606;9472;7627;2863;3137;297;4431;4172;4364;3087;4494;5091;250;3161;3020;499;1804;262;129;6;199;67;147;103;66288;874;461;288;235;39;1897;361;4468
"Dermatologie";"DER1";187;30;22;9;7;0;11;8;6;13;7;6;0;41;6;2;3;0;0;0;0;0;0;3;361;3;1;2;3;0;9;1;16
"";"DER1.1";200;13;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;10;2;0;3;0;15;0;2
"";"DER1.2";6;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"DER2";27;14;10;2;4;1;3;10;6;6;3;6;0;3;2;2;2;0;0;0;0;0;0;6;107;2;1;1;1;0;5;0;2
"Hals-Nasen-Ohren";"HNO1";553;124;14;41;33;31;57;47;81;6;62;38;0;171;35;0;16;0;174;0;0;6;0;0;1489;9;13;6;27;0;55;4;258
"";"HNO1.1";461;96;5;41;11;0;2;13;26;1;12;46;0;99;7;0;0;2;78;0;0;1;0;0;901;8;30;3;26;0;67;2;73
"";"HNO1.1.1";44;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;52;0;2;0;0;0;2;0;4
"";"HNO1.2";332;81;2;169;72;38;136;18;74;15;87;51;0;4;56;0;22;2;512;0;0;5;0;0;1676;15;8;30;82;2;137;2;202
"";"HNO1.2.1";4;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;
"";"HNO1.3";288;2;0;4;0;0;0;0;0;10;0;0;0;3;1;0;0;0;0;0;0;0;0;0;308;0;13;0;2;0;15;0;30
"";"HNO1.3.1";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3
"";"HNO1.3.2";34;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;40;0;1;0;0;0;1;0;4
"";"HNO2";135;179;147;151;0;18;15;31;61;45;29;2;0;0;10;0;0;0;0;0;0;0;0;0;823;5;33;0;18;0;56;5;46
"";"KIE1";246;47;3;2;1;0;2;1;1;0;1;1;0;13;1;0;1;0;27;0;0;0;1;2;350;3;3;1;10;0;17;0;18
"Neurochirurgie";"NCH1";479;114;0;157;1;0;0;0;0;0;1;0;1;78;0;0;0;0;14;0;0;0;0;0;845;4;4;0;1;0;9;0;37
"";"NCH1.1";57;11;5;16;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;3
"";"NCH1.1.1";151;0;0;72;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;4
"";"NCH1.1.1.1";22;0;0;7;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;1
"";"NCH1.1.2";33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;3
"";"NCH1.1.3";4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"";"NCH2";4;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;2;0;1
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"NCH3";7;2;0;4;0;0;2;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;19;0;3;0;2;0;5;0;4
"Neurologie";"NEU1";159;94;61;80;19;0;54;46;22;28;67;26;0;69;23;0;8;0;0;19;0;0;1;0;776;1;0;1;0;0;2;5;56
"";"NEU2";28;16;21;10;3;0;8;9;6;4;12;12;0;0;9;1;1;0;0;0;0;0;0;0;140;0;0;1;0;0;1;1;10
"";"NEU2.1";47;11;5;16;4;0;3;3;7;3;8;3;0;41;0;0;3;0;0;0;0;0;2;0;156;0;0;0;0;0;0;0;6
"";"NEU3";658;430;437;399;82;0;132;183;102;53;147;131;0;3;76;0;34;5;0;0;0;0;1;0;2873;16;0;1;0;0;17;15;119
"";"NEU3.1";95;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0;0;0;0;8
"";"NEU4";24;0;0;22;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;186;0;0;0;0;237;0;0;0;0;0;0;0;5
"";"NEU4.1";35;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;33;0;0;0;0;70;0;0;0;0;0;0;0;1
"";"NEU4.2";49;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;165;0;0;0;0;284;0;0;0;0;0;0;0;7
"Ophthalmologie";"AUG1";116;73;27;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;220;15;0;0;4;1;20;0;19
"";"AUG1.1";40;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;54;0;0;0;0;0;0;0;
"";"AUG1.2";41;7;5;3;0;3;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;63;2;0;1;20;7;30;0;20
"";"AUG1.3";83;109;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;310;65;0;0;6;0;71;0;51
"";"AUG1.4";83;407;234;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;829;30;0;0;30;0;60;0;5
"";"AUG1.5";688;110;235;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;1080;22;0;0;1;0;23;0;70
"Endokrinologie";"END1";168;178;72;39;30;0;112;80;54;22;107;136;0;77;34;6;19;0;0;0;0;0;1;2;1137;3;0;2;0;0;5;7;34
"Gastroenterologie";"GAE1";566;717;536;391;202;0;447;362;374;191;266;436;0;80;234;0;61;33;0;0;0;0;0;0;4896;117;13;3;0;0;133;26;159
"";"GAE1.1";115;154;109;87;20;0;45;79;75;36;125;77;0;2;41;0;4;2;0;0;0;0;0;0;971;34;9;2;0;0;45;1;23
"Viszeralchirugie";"VIS1";425;493;331;347;69;5;85;193;145;73;134;126;0;82;96;0;5;1;3;0;2;0;0;0;2615;73;61;10;23;0;167;37;112
"";"VIS1.1";37;42;39;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;146;2;0;0;0;0;2;0;7
"";"VIS1.2";44;49;18;14;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;128;4;1;0;0;0;5;0;5
"";"VIS1.3";18;13;7;24;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;67;0;1;0;0;0;1;0;1
"";"VIS1.4";59;0;34;68;0;0;0;131;0;0;104;0;0;0;105;0;0;0;0;0;0;0;0;0;501;0;0;2;0;0;2;23;94
"";"VIS1.4.1";30;0;0;36;0;0;0;73;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;2;0;2;1;26
"";"VIS1.5";23;21;12;29;0;0;9;7;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;103;3;7;0;0;0;10;0;7
"Hämatologie";"HAE1";128;39;15;13;5;0;12;9;5;2;11;12;0;173;3;0;3;1;0;0;0;0;1;0;432;0;0;1;1;0;2;1;5
"";"HAE1.1";82;0;2;6;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;2
"";"HAE2";405;202;93;152;14;0;86;45;52;26;57;96;0;3;30;2;20;14;0;0;1;0;1;0;1299;24;5;4;0;0;33;6;54
"";"HAE3";24;33;15;21;12;0;11;6;12;2;9;22;0;12;7;0;10;6;0;0;0;0;3;0;205;6;0;0;0;0;6;0;4
"";"HAE4";54;0;6;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;1
"";"HAE5";38;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;1
"Gefässe";"GEF1";62;93;68;72;0;0;2;25;0;1;0;4;0;3;0;1;0;0;0;0;0;0;0;0;331;14;7;1;0;0;22;0;17
"";"ANG1";326;188;84;95;12;0;2;32;23;3;0;51;0;2;2;2;0;0;0;0;0;0;1;0;823;110;28;0;0;0;138;2;21
"";"GEFA";391;254;115;183;1;0;0;4;1;0;1;20;0;14;1;0;0;0;0;0;0;0;0;0;985;45;26;0;0;0;71;0;47
"";"GEF3";69;36;31;54;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;5;4;0;1;0;10;0;9
"";"ANG3";50;22;7;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;3;0;0;0;0;3;0;
"";"RAD1";71;22;22;115;7;0;3;6;0;1;0;7;0;1;3;0;0;0;0;0;0;0;0;0;258;7;0;0;6;0;13;0;13
"Herz";"HER1";16;2;12;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;38;1;1;0;0;0;2;0;2
"";"HER1.1";26;0;14;4;0;0;0;0;1;0;1;0;0;20;0;0;0;0;0;0;0;0;0;0;66;4;0;0;0;0;4;0;3
"";"HER1.1.1";134;0;149;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;21;0;0;0;0;21;0;2
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
"";"HER1.1.3";17;0;16;3;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;76;2;0;0;0;0;2;0;7
"";"HER1.1.4";53;0;87;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;21;0;0;0;0;21;0;8
"";"HER1.1.5";36;0;61;57;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;156;7;0;0;0;0;7;0;4
"";"KAR1";152;105;143;102;0;0;28;46;16;26;38;63;0;5;9;0;0;1;0;0;0;0;0;0;734;59;6;0;0;0;65;0;14
"";"KAR1.1";1248;632;1295;956;3;0;32;3;2;7;49;7;0;14;13;0;0;3;0;0;0;0;0;0;4264;303;87;0;0;0;390;0;124
"";"KAR1.1.1";254;10;126;168;1;0;0;0;0;0;0;0;0;29;0;1;0;0;0;0;0;0;0;0;589;89;0;0;0;0;89;0;28
"";"KAR1.2";195;70;180;227;0;0;0;0;0;0;105;0;0;12;0;0;0;0;0;0;0;0;0;0;789;172;3;0;0;0;175;0;20
"";"KAR1.3";121;21;55;40;0;0;0;0;0;0;24;2;0;0;0;0;0;0;0;0;0;0;0;0;263;19;2;0;0;0;21;0;4
"Nephrologie";"NEP1";173;76;60;12;18;0;9;24;4;61;42;80;0;5;11;1;0;0;0;0;0;0;0;0;576;27;1;0;0;0;28;5;28
"Urologie";"URO1";975;994;805;677;161;411;604;469;90;238;448;342;0;107;433;19;126;98;0;0;797;3;0;0;7797;178;200;83;5;0;466;35;396
"";"URO1.1";119;126;98;70;5;11;22;87;7;126;53;23;0;79;43;1;0;2;0;0;149;0;0;0;1021;7;27;15;4;0;53;10;46
"";"URO1.1.1";36;73;67;136;1;9;25;22;0;0;0;0;0;0;53;0;0;0;0;0;72;0;0;0;494;7;14;0;0;0;21;3;18
"";"URO1.1.2";18;20;8;19;0;0;0;1;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;78;1;1;0;0;0;2;0;4
"";"URO1.1.3";30;39;20;21;0;0;2;21;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;157;1;1;0;0;0;2;1;3
"";"URO1.1.4";5;11;5;9;0;0;2;4;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;42;1;1;0;0;0;2;1;2
"";"URO1.1.7";11;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;32;0;0;0;0;0;0;0;1
