"Spitalname";"Austritte";"Anteil am Total Kt. ZH";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %"
"Universitätsspital Zürich";39466;0.166629371456075;52.0011655602291;19.1937363806821;42.7760604064258
"Kantonsspital Winterthur";28048;0.118421441509147;50.9316885339418;20.4221334854535;51.6043924700513
"Stadtspital Triemli";25034;0.105696034182116;51.6802748262363;17.5121834305345;51.9972836941759
"Klinik Hirslanden";19294;0.0814611841299731;58.7248367368094;57.3079713900695;21.5351922877579
"See-Spital Standort Horgen";7027;0.0296686918669701;51.2245624021631;23.0397039988615;54.7886722641241
"See-Spital Standort Kilchberg";2567;0.0108381289344688;56.608492403584;22.6334242306194;0.428515777171796
"Spital Uster";9921;0.0418874472765348;54.2035077109162;18.2945267614152;61.5966132446326
"Spital Limmattal";12054;0.0508931851095001;52.3091919694707;17.8612908578065;49.4358719097395
"Spital Bülach";10251;0.0432807400495674;49.524729294703;15.9008877182714;63.7888986440347
"Spital Zollikerberg";11558;0.048799023850639;43.9172002076484;24.0006921612736;47.4909153832843
"GZO AG Spital Wetzikon";10011;0.0422674362146346;53.450804115473;16.4818699430626;56.13824792728
"Stadtspital Waid";8235;0.0347689878361319;67.7151183970856;19.2714025500911;65.792349726776
"Schulthess Klinik";8004;0.0337936828950091;55.3835582208896;48.2508745627186;1.12443778110945
"Kinderspital Zürich";8030;0.0339034574771268;5.22154420921544;23.4744707347447;52.7148194271482
"Spital Männedorf";8164;0.0344692187849643;56.1643802057815;26.2861342479177;47.8319451249388
"Universitätsklinik Balgrist";6176;0.0260756853522709;53.3890867875648;32.2376943005181;12.0142487046632
"Spital Affoltern";2510;0.0105974692736723;66.8776892430279;24.9003984063745;60.5577689243028
"Limmatklinik";1846;0.00779399533035816;37.9718309859155;14.1386782231853;0.541711809317443
"Klinik Lengg";931;0.00393077445967684;37.1331901181525;12.8893662728249;6.87432867883996
"Uroviva Klinik für Urologie";1475;0.00622759648552453;62.2569491525424;28.6779661016949;0
"Adus Medica";803;0.00339034574771268;47.5566625155666;11.332503113325;0
"Klinik Susenberg";196;0.000827531465195124;81.0051020408163;69.3877551020408;0
"Sune-Egge";179;0.000755755776887384;47.3240223463687;0;12.8491620111732
"Spitäler mit Zürcher Leistungsauftrag";221780;0.936377185464156;51.355135720083;24.390386869871;44.2384344846244
"Geburtshaus Zürcher Oberland";979;0.0041334352266634;16.5689479060266;0;35.6486210418795
"Geburtshaus Delphys";603;0.00254592588526867;16.9850746268657;0;45.771144278607
"Geburtshäuser mit Zürcher Leistungsauftrag";1582;0.00667936111193207;16.7275600505689;0;39.5069532237674
"Klinik Im Park";6268;0.0264641184889951;58.6024250159541;83.535417996171;18.1716656030632
"Privatklinik Bethanien";4150;0.0175217121457131;50.5934939759036;83.2289156626506;6.16867469879518
"Klinik Lindberg";1436;0.00606293461234795;61.816852367688;90.3899721448468;13.1615598885794
"Klinik Pyramide am See";1567;0.00661602962224877;55.5213784301213;99.2980216975112;1.7230376515635
"Klinik Tiefenbrunnen";66;0.000278658554606521;47.4848484848485;100;0
"Spitäler ohne Zürcher Leistungsauftrag";13487;0.0569434534239114;56.0679172536517;86.0828946392823;11.9448357677764
"Total Kanton Zürich";236849;1;51.3922076935094;27.7404591110792;42.3679221782655
"Spitäler Schaffhausen";9281;;53.8592824049133;17.120999892253;56.7180260747764
