"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"Basispaket";"BP";9324;11146;8423;3423;3473;369;4567;5379;4539;3515;4730;5467;427;4354;3875;741;1939;214;14;154;89;171;145;76478;1181;540;422;400;51;2594
"Dermatologie";"DER1";224;48;29;13;6;0;9;17;6;4;6;3;0;65;9;0;2;0;0;0;0;0;3;444;2;0;0;3;0;5
"";"DER1.1";343;12;1;4;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;364;5;1;0;6;0;12
"";"DER1.2";9;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
"";"DER2";34;16;12;2;6;0;2;10;2;2;2;4;1;6;4;2;4;0;0;0;0;0;3;112;3;0;0;3;0;6
"Hals-Nasen-Ohren";"HNO1";676;159;32;71;20;50;52;55;75;5;86;35;0;228;42;0;13;241;0;0;10;0;0;1850;6;21;2;22;0;51
"";"HNO1.1";653;168;4;71;14;3;6;25;25;2;6;33;0;146;15;1;1;148;0;0;5;0;0;1326;6;48;4;23;0;81
"";"HNO1.1.1";52;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;1;0;0;0;1
"";"HNO1.2";454;112;1;254;102;81;139;71;78;22;84;57;0;16;78;0;23;707;0;0;65;0;0;2344;21;40;26;104;4;195
"";"HNO1.2.1";9;0;0;62;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0
"";"HNO1.3";412;3;0;1;0;1;0;2;0;10;0;0;0;1;2;0;0;0;0;0;0;0;0;432;0;38;0;1;0;39
"";"HNO1.3.1";2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
"";"HNO1.3.2";68;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;73;0;2;0;0;0;2
"";"HNO2";203;183;188;281;0;20;26;77;80;57;10;2;0;1;11;0;0;0;0;0;0;0;0;1139;16;38;3;34;0;91
"";"KIE1";287;102;3;1;1;0;2;0;1;1;0;0;0;34;0;0;0;167;0;0;0;0;3;602;12;2;0;16;0;30
"Neurochirurgie";"NCH1";764;116;0;301;4;0;0;1;0;1;0;0;2;109;0;0;0;13;0;0;0;0;0;1311;2;1;0;1;0;4
"";"NCH1.1";84;12;3;30;0;0;0;0;1;0;0;0;0;15;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;0
"";"NCH1.1.1";200;2;0;99;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;305;0;0;0;0;0;0
"";"NCH1.1.1.1";67;0;0;18;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0
"";"NCH1.1.2";88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0
"";"NCH1.1.3";13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
"";"NCH2";5;0;0;5;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;22;1;0;0;0;0;1
"";"NCH2.1";5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0
