"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Universitätsspital Zürich";1440130.352;1499441.819;1515865.352;1.09530978740831
"Kantonsspital Winterthur";511805.362;524755.757;541572.215;3.20462572838434
"Stadtspital Triemli";453752.501;489273.037;510349.996;4.30781126408157
"Klinik Hirslanden";376860.579;387159.072;406282.614;4.93945341412534
"See-Spital";138545.886;135017.367;146898.327;8.79957909414719
"Spital Uster";156352.474;167879.475;172041.71;2.47929950936527
"Spital Limmattal";189111.697;190516.694;196198.927;2.98253810765792
"Spital Bülach";146161.414;145499.863;146042.648;0.373048461220882
"Spital Zollikerberg";154346.196;159479.931;169867.478;6.51338819553413
"GZO AG Spital Wetzikon";149453.25;154319.383;150598.775;-2.41097905374597
"Stadtspital Waid";152650.828;154888.126;160514.676;3.63265419067698
"Schulthess Klinik";201172.786;198331.523;202390.37;2.04649615885821
"Kinderspital Zürich";309311.547;312242.74;327453.091;4.87132254860434
"Spital Männedorf";128179.155;139302.221;144165.009;3.49081871422567
"Universitätsklinik Balgrist";177994.781;185179.866;209055.193;12.8930469147224
"Spital Affoltern";72792.376;61739.1;62612.464;1.414604359312
"Paracelsus-Spital Richterswil";35518.297;;;
"Limmatklinik";17683.168;17704.252;18515.243;4.5807696365822
"Klinik Lengg";37356.785;39750.51;41469.882;4.32540865513422
"Uroviva Klinik für Urologie";17188.47;17817.002;16856.621;-5.39025027891898
"Adus Medica";7897.417;7687.863;8600.369;11.8694362789764
"Klinik Susenberg";10186.223;10004.942;9975.54;-0.293874767090085
"Sune-Egge";11748.394;11847.031;11198.284;-5.47603023913756
"Spitäler mit Zürcher Leistungsauftrag";4896199.938;5009837.574;5168524.784;3.16751207311696
"Geburtshaus Zürcher Oberland";3671.626;3349.539;3960.491;18.2398831600408
"Geburtshaus Delphys";2343.507;2383.105;2635.015;10.5706630635243
"Geburtshäuser mit Zürcher Leistungsauftrag";6015.133;5732.644;6595.506;15.0517283124506
"Klinik Im Park";147373.709;144564.593;148682.691;2.8486214463316
"Privatklinik Bethanien";78281.241;76567.072;76672.645;0.137883031494268
"Klinik Lindberg";31392.19;30261.502;31334.251;3.544929792315
"Klinik Pyramide am See";15695.295;15542.063;15842.673;1.93417051520124
"Klinik Tiefenbrunnen";1372.278;1559.303;1420.929;-8.87409310441908
"Spitäler ohne Zürcher Leistungsauftrag";274114.713;268494.533;273953.189;2.03306039009741
"Total Kanton Zürich";5176329.784;5284064.751;5449073.479;3.12276127897131
"Spitäler Schaffhausen";199443.472;207486.408;;4.03268952317477
